code,P2,P50,P100,P250,P500,P1000,P2000,rho,suction,theta
1014,0.02,0.13,0.24250000000000005,0.743,0.916,0.985,0.997,1.53,0.0,0.3615
1014,0.02,0.13,0.24250000000000005,0.743,0.916,0.985,0.997,1.53,2.0,0.324
1014,0.02,0.13,0.24250000000000005,0.743,0.916,0.985,0.997,1.53,3.0,0.2655
1014,0.02,0.13,0.24250000000000005,0.743,0.916,0.985,0.997,1.53,4.0,0.1945
1014,0.02,0.13,0.24250000000000005,0.743,0.916,0.985,0.997,1.53,5.0,0.16
1014,0.02,0.13,0.24250000000000005,0.743,0.916,0.985,0.997,1.53,7.0,0.111
1014,0.02,0.13,0.24250000000000005,0.743,0.916,0.985,0.997,1.53,10.0,0.0795
1014,0.02,0.13,0.24250000000000005,0.743,0.916,0.985,0.997,1.53,20.0,0.057
1014,0.02,0.13,0.24250000000000005,0.743,0.916,0.985,0.997,1.53,43.0,0.0445
1014,0.02,0.13,0.24250000000000005,0.743,0.916,0.985,0.997,1.53,64.0,0.0365
1014,0.02,0.13,0.24250000000000005,0.743,0.916,0.985,0.997,1.53,105.0,0.0265
1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,0.0,0.4178
1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,0.5,0.3744
1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,1.2,0.3505
1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,2.4,0.2657
1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,3.4,0.198
1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,5.4,0.1649
1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,8.0,0.1384
1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,12.2,0.122
1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,32.5,0.107
1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,82.1,0.0955
1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,0.0,0.361
1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,0.5,0.34
1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,1.2,0.252
1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,2.4,0.203
1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,3.4,0.162
1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,5.4,0.13
1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,8.0,0.119
1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,12.2,0.102
1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,32.5,0.084
1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,82.1,0.074
1022,0.043,0.107,0.133,0.204,0.237,0.862,1.003,1.6,0.0,0.3636
1022,0.043,0.107,0.133,0.204,0.237,0.862,1.003,1.6,0.5,0.3326
1022,0.043,0.107,0.133,0.204,0.237,0.862,1.003,1.6,1.2,0.238
1022,0.043,0.107,0.133,0.204,0.237,0.862,1.003,1.6,2.4,0.175
1022,0.043,0.107,0.133,0.204,0.237,0.862,1.003,1.6,3.4,0.1465
1022,0.043,0.107,0.133,0.204,0.237,0.862,1.003,1.6,5.4,0.1175
1022,0.043,0.107,0.133,0.204,0.237,0.862,1.003,1.6,8.0,0.096
1022,0.043,0.107,0.133,0.204,0.237,0.862,1.003,1.6,12.2,0.0834
1022,0.043,0.107,0.133,0.204,0.237,0.862,1.003,1.6,32.5,0.0539
1022,0.043,0.107,0.133,0.204,0.237,0.862,1.003,1.6,82.1,0.064
1023,0.02,0.06,0.08,0.163,0.216,0.771,1.002,1.67,0.0,0.335
1023,0.02,0.06,0.08,0.163,0.216,0.771,1.002,1.67,0.5,0.303
1023,0.02,0.06,0.08,0.163,0.216,0.771,1.002,1.67,1.2,0.193
1023,0.02,0.06,0.08,0.163,0.216,0.771,1.002,1.67,2.4,0.134
1023,0.02,0.06,0.08,0.163,0.216,0.771,1.002,1.67,3.4,0.115
1023,0.02,0.06,0.08,0.163,0.216,0.771,1.002,1.67,5.4,0.094
1023,0.02,0.06,0.08,0.163,0.216,0.771,1.002,1.67,8.0,0.079
1023,0.02,0.06,0.08,0.163,0.216,0.771,1.002,1.67,12.2,0.07
1023,0.02,0.06,0.08,0.163,0.216,0.771,1.002,1.67,32.5,0.039
1024,0.02,0.05,0.08,0.215,0.277,0.82,1.006,1.68,0.0,0.316
1024,0.02,0.05,0.08,0.215,0.277,0.82,1.006,1.68,0.5,0.288
1024,0.02,0.05,0.08,0.215,0.277,0.82,1.006,1.68,1.2,0.198
1024,0.02,0.05,0.08,0.215,0.277,0.82,1.006,1.68,2.4,0.127
1024,0.02,0.05,0.08,0.215,0.277,0.82,1.006,1.68,3.4,0.108
1024,0.02,0.05,0.08,0.215,0.277,0.82,1.006,1.68,5.4,0.086
1024,0.02,0.05,0.08,0.215,0.277,0.82,1.006,1.68,8.0,0.076
1024,0.02,0.05,0.08,0.215,0.277,0.82,1.006,1.68,12.2,0.068
1024,0.02,0.05,0.08,0.215,0.277,0.82,1.006,1.68,32.5,0.043
1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,0.3,0.3246
1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,2.0,0.313
1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,2.5,0.2986
1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,3.0,0.2847
1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,4.0,0.2215
1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,5.0,0.1684
1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,6.0,0.1336
1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,8.0,0.1022
1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,10.0,0.0876
1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,15.0,0.0738
1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,20.0,0.0688
1041,0.02,0.07,0.17800000000000002,0.76,0.925,0.988,0.992,1.512,35.0,0.0633
1042,0.03,0.04,0.14666666666666667,0.756,0.912,0.967,0.972,1.562,0.3,0.3322
1042,0.03,0.04,0.14666666666666667,0.756,0.912,0.967,0.972,1.562,2.0,0.3225
1042,0.03,0.04,0.14666666666666667,0.756,0.912,0.967,0.972,1.562,2.5,0.3077
1042,0.03,0.04,0.14666666666666667,0.756,0.912,0.967,0.972,1.562,3.0,0.2905
1042,0.03,0.04,0.14666666666666667,0.756,0.912,0.967,0.972,1.562,4.0,0.2205
1042,0.03,0.04,0.14666666666666667,0.756,0.912,0.967,0.972,1.562,5.0,0.1623
1042,0.03,0.04,0.14666666666666667,0.756,0.912,0.967,0.972,1.562,6.0,0.1261
1042,0.03,0.04,0.14666666666666667,0.756,0.912,0.967,0.972,1.562,8.0,0.0895
1042,0.03,0.04,0.14666666666666667,0.756,0.912,0.967,0.972,1.562,10.0,0.0749
1042,0.03,0.04,0.14666666666666667,0.756,0.912,0.967,0.972,1.562,15.0,0.0613
1042,0.03,0.04,0.14666666666666667,0.756,0.912,0.967,0.972,1.562,20.0,0.0569
1042,0.03,0.04,0.14666666666666667,0.756,0.912,0.967,0.972,1.562,35.0,0.0526
1043,0.03,0.07,0.17333333333333334,0.772,0.952,1.017,1.023,1.593,0.3,0.3153
1043,0.03,0.07,0.17333333333333334,0.772,0.952,1.017,1.023,1.593,2.0,0.3027
1043,0.03,0.07,0.17333333333333334,0.772,0.952,1.017,1.023,1.593,2.5,0.3008
1043,0.03,0.07,0.17333333333333334,0.772,0.952,1.017,1.023,1.593,3.0,0.2912
1043,0.03,0.07,0.17333333333333334,0.772,0.952,1.017,1.023,1.593,4.0,0.2328
