Type,Name,Field name,Data type,Data subtype,Indexation,Duplicates allowed,Size characters,Required,Default value,Notes
Query,filter_for_reports,codes,Number,,No,,,No,Only_codes.Codes,Restricting Query
Report,general_report,,,,,,,,,Restricted by Code_filter.Codes
Report,tabular_data,,,,,,,,,Restricted by Code_filter.Codes
Report,tabular_data_with_graphics,,,,,,,,,Restricted by Code_filter.Codes
Table,a_database_description,Type,Text,,No,,255,No,,Description of all other tables and queries
Table,a_database_description,Name,Text,,No,,255,No,,Description of all other tables and queries
Table,a_database_description,Field name,Text,,No,,255,No,,Description of all other tables and queries
Table,a_database_description,Data type,Text,,No,,255,No,,Description of all other tables and queries
Table,a_database_description,Data subtype,Text,,No,,255,No,,Description of all other tables and queries
Table,a_database_description,Indexation,Text,,No,,255,No,,Description of all other tables and queries
Table,a_database_description,Duplicates allowed,Text,,No,,255,No,,Description of all other tables and queries
Table,a_database_description,Size characters,Text,,No,,255,No,,Description of all other tables and queries
Table,a_database_description,Required,Text,,No,,255,No,,Description of all other tables and queries
Table,a_database_description,Default value,Text,,No,,255,No,,Description of all other tables and queries
Table,aggregate_size_distribution,code,Number,Long Integer,Yes,Yes,,Yes,No default,
Table,aggregate_size_distribution,dry_aggregate_size,Number,Double,No,,,No,Null,
Table,aggregate_size_distribution,dry_aggregate_percentage,Number,Double,No,,,No,Null,
Table,code_filter,codes,Number,Long Integer,No,,,No,General.Code,"Restricted code list, output of the Restricting query"
Table,comment_field_general,comment_field_ID,Number,Long Integer,Yes,No,,Yes,No default,
Table,comment_field_general,comment_field,Memo,,No,,64Kb,No,No default,
Table,comment_field_hydr_cond,comment_fhc_ID,Number,Long Integer,Yes,No,,Yes,No default,
Table,comment_field_hydr_cond,comment_fhc,Text,,No,,255,No,No default,
Table,comment_field_sat_cond,comment_fsc_ID,Number,Long Integer,Yes,No,,Yes,No default,
Table,comment_field_sat_cond,comment_fsc,Text,,No,,255,No,No default,
Table,comment_field_wat_ret,comment_fwr_ID,Number,Long Integer,Yes,No,,Yes,No default,
Table,comment_field_wat_ret,comment_fwr,Text,,No,,255,No,No default,
Table,comment_general,comment_general_ID,Number,Long Integer,Yes,No,,Yes,No default,
Table,comment_general,comment_general,Memo,,No,,64Kb,No,No default,
Table,comment_lab_general,comment_lab_ID,Number,Long Integer,Yes,No,,Yes,No default,
Table,comment_lab_general,comment_lab,Memo,,No,,64Kb,No,No default,
Table,comment_lab_hydr_cond,comment_lhc_ID,Number,Long Integer,Yes,No,,Yes,No default,
Table,comment_lab_hydr_cond,comment_lhc,Text,,No,,255,No,No default,
Table,comment_lab_sat_cond,comment_lsc_ID,Number,Long Integer,Yes,No,,Yes,No default,
Table,comment_lab_sat_cond,comment_lsc,Text,,No,,255,No,No default,
Table,comment_lab_wat_ret,comment_lwr_ID,Number,Long Integer,Yes,No,,Yes,No default,
Table,comment_lab_wat_ret,comment_lwr,Text,,No,,255,No,No default,
Table,comment_soil_properties,comment_soilprop_ID,Number,Long Integer,Yes,No,,Yes,No default,
Table,comment_soil_properties,comment_soilprop,Memo,,No,,64Kb,No,No default,
Table,contact_person,contact_person_ID,Number,Long Integer,Yes,No,,Yes,No default,
Table,contact_person,contact_person,Text,,No,,255,No,No default,
Table,field_drying_h-k,code,Number,Long Integer,Yes,Yes,,Yes,No default,
Table,field_drying_h-k,preshead,Number,Double,No,,,No,Null,
Table,field_drying_h-k,conductivity,Number,Double,No,,,No,Null,
Table,field_drying_h-t,code,Number,Long Integer,Yes,Yes,,Yes,No default,
Table,field_drying_h-t,preshead,Number,Double,No,,,No,Null,
Table,field_drying_h-t,theta,Number,Double,No,,,No,Null,
Table,field_drying_t-d,code,Number,Long Integer,Yes,Yes,,Yes,No default,
Table,field_drying_t-d,theta,Number,Double,No,,,No,Null,
Table,field_drying_t-d,diffusivity,Number,Double,No,,,No,Null,
Table,field_drying_t-k,code,Number,Long Integer,Yes,Yes,,Yes,No default,
Table,field_drying_t-k,theta,Number,Double,No,,,No,Null,
Table,field_drying_t-k,conductivity,Number,Double,No,,,No,Null,
Table,field_wetting_h-k,code,Number,Long Integer,Yes,Yes,,Yes,No default,
Table,field_wetting_h-k,preshead,Number,Double,No,,,No,Null,
