comment_general_ID,comment_general
1,Pecan orchard with grass cover.
999,NA
3,Longterm soybean research
4,Research plots involving soybeans and corn.
5,measurement at 20 C
6,measurement at 44.5 C
7,measurement at 41.5 C
8,measurement at 38 C
9,measurement at 34.5 C
10,measurement at 32 C
11,measurement at 30.5 C
12,measurement at 29 C
13,Continuously cropped previously for a long time.
14,Soil profile described on p.18 of SCS Bull. 263
15,Soil profile described on p.148 SCS Bull. 263
16,Pecan orchard where the grass was used for grazing.
17,Planted to wheat in previous year. A similar soil profile described on p.256 of SCS Bull. 263.
18,Soil profile is described on p.281 of SCS Bull. 263.
19,Common Bermuda grass for five years
20,"Cropped to soybeans, 2% slope"
21,Small grains plus clover and rye grass followed by millet.
22,wheat vegetation
23,Old Alluvium (Pleistocene) parent material
24,Cotton
25,"30 yr. forest regrowth on old agricultural land dominated by short-leaf pine, 4% slope; parent material is conasauga shale"
26,"30 yr. forest regrowth on old agricultural land dominated by short-leaf pine, 4% slope; parent material is conasauga shale"
27,"30 yr. forest regrowth, parent material is Knox dolomite"
28,"30-yr. forest regrowth on cleared land, dominated by oak-hickory species and some white oak, parent material is Knox dolomite"
29,"30-yr. forest regrowth on cleared land, dominated by oak-hickory species and some white oak, parent material is Knox dolomite."
30,3-5% slope
31,"The geological material is a slightly welded tuffaceous rock with numerous fractures, phenocrysts and xenoliths."
32,Crop: winter barley. Tillage: mouldboard plow.
33,Crop: winter barley. Tillage: mouldboard plow. Biopores
34,Crop: winter barley
35,Oak forest.
36,Crop: winter wheat
37,"Average of two depths (2-12 & 12-22 cm). Data for untilled soil. Typical colluvium on top of a ""Para-Brown Earth."""
38,"M horizon is from 30-80 cm. Data for untilled soil. Typical colluvium on top of a ""Para-Brown Earth."""
39,Average of two depths (2-12 & 12-22 cm). Data for tilled soil (annual mouldboard plowing).
40,M horizon is from 30-60 cm. Data for tilled soil (annual mouldboard plowing).
41,Study for different tillage histories; tilled by mouldboard plow. Crop: rapeseed
42,Study for different tillage histories; permanent grass.
43,Study for different tillage histories; forest with deciduous trees.
44,The site was covered with grass and near a waste deposit.
45,Crop was rye with a waste deposit in the immediate vicinity.
46,"Crop: Sugar beet, Tillage: mouldboard plow (MP)."
47,"Crop: Sugar beet, Tillage: sweep tine cultivator and rotator (CR)."
48,"Crop: Sugar beet, Zero Tillage for about 5 years (ZT)."
49,Site was a forest with deciduous trees.
50,"See also: Jaynes, in Anderson and Burt (ed.) Process Studies in Hillslope Hydrology. John Wiley, 1990."
51,"Soil profile was located in a grassed area. See also Fritton, D.D. Ph.D. Thesis, Iowa State University."
52,Glacial soil
53,Permanent grassland located in the low plain part of the river valley. Upper muck horizon
54,Permanent grassland located in the low plain part of the river valley. Degree of decomposition = 60%
55,Permanent grassland located in the low plain part of the river valley. Degree of decomposition = 50%
56,The site was covered with grass and bushes.
57,Average of two depths (2-12 & 12-22cm). Reduced tillage using a rotary harrow for seedbed preparation. Typical colluvium.
58,M horizon is from 30-80 cm. Reduced tillage using a rotary harrow for seedbed preparation. Typical colluvium.
59,Average of two depths (2-12 & 12-22cm). Tilled soil; annual mouldboard plowing. Typical colluvium.
60,"M horizon is from 30-80 cm. Tilled soil, annual mouldboard plowing."
61,"This site was a permanent grass cover and is located in a rain forest. 12% slope, elevation 195m. Parent material: volcanic ash over cinders. Soil is highly aggregated. Color 10YR3/3"
62,"This site was a permanent grass cover and is located in a rain forest. 12% slope, elevation 195m. Parent material: volcanic ash over cinders. Soil is highly aggregated. Color: 10YR3/4, Average of two depths (42-50 & 72-80cm)."
63,"This site was a permanent grass cover and is located in a rain forest. 12% slope, elevation 195m. Parent material: volcanic ash over cinders. Soil is highly aggregated."
64,"Vegetation: sugarcane. Elevation: 160 m, 4% slope. Parent material: residuum from basic igneous rock."
65,"Vegetation: sugarcane, swollen fingergrass. Elevation: 165 m.  1% slope. Parent material: residuum from basic igneous rock."
