comment_soilprop_ID,comment_soilprop
1,"PSD was determined with dry sieving, particle density by pycnometer method."
2,Soil texture by pipette method.
999,NA
4,Saturated conductivity measured independently at 20 C
5,"Particle-size distribution by hydrometer method, sand fraction by sieving."
6,Particle-size distribution by pipette method (clay) and wet sieving (sand).
7,PSD by pipette method (clay) and wet sieving (sand).
8,PSD with the pipette method and wet and dry sieving.
9,PSD with the pipette method and wet and dry sieving.
10,"Particle-size distribution with hydrometer method, sand by sieving."
11,"Particle density by volumetric displacement; clay fraction by hydrometer method, and sand fraction by wet sieving."
12,Particle size by hydrometer method and wet sieving.
13,Particle size by sieving & hydrometer method.
14,"Bulk density & saturated water content, for largest sample only. Pore-surface area is 3470 m2/kg. Particle size from intrusion volume."
15,"PSD with sieving & sedimentation. Organic matter expressed as org. C, 0.27% carbonate, 0.10% total N. Particle density with pycnometer."
16,"PSD with sieving & sedimentation. Organic matter expressed as org. C, 0.06% carbonate, 0.06% total N. Particle density with pycnometer."
17,"pH-CaCl2, CEC with NH4-Acetate"
18,Particle-size distribution with pipette method.
19,pH-CaCl2
20,"CEC using BaCl2, pipette method for particle-size distribution, pH-CaCl2."
21,Organic matter as Org. C; pH-CaCl2. PSD with wet sieving & pipette method. Particle density with pycnometer.
22,"Organic matter as Org. C, 3.59% carbonate, 0.18% total N. Particle density with pycnometer, PSD with sieving and sedimentation."
23,"Organic matter as Org. C, 1.19% carbonate, 0.38% total N. Particle density with pycnometer, PSD with sieving and sedimentation."
24,"Organic matter as Org. C, 0.24% carbonate, 0.28% total N. Particle density with pycnometer, PSD with sieving and sedimentation."
25,"Organic matter as Org. C, 0.12% carbonate, 0.57% total N. Particle density with pycnometer, PSD with sieving and sedimentation."
26,"Organic matter as Org. C, 0.03% carbonate, 0.17% total N. Particle density with pycnometer, PSD with sieving and sedimentation."
27,"Organic matter as Org. C, 0% carbonate, 0.24% total N. Particle density with pycnometer, PSD with sieving and sedimentation."
28,"Organic matter as Org. C, 0% carbonate, 0.09% total N. Particle density with pycnometer, PSD with sieving and sedimentation."
29,"Organic matter as Org. C, 0% carbonate, 0.05% total N. Particle density with pycnometer, PSD with sieving and sedimentation."
30,"Organic matter as Org. C, 0% carbonate, 0.08% total N. Particle density with pycnometer, PSD with sieving and sedimentation."
31,"Organic matter as Org. C., 0.15% carbonate, 0.13% total N. PSD from G. Dumbeck (Ph.D.  Thesis, Univ. of Giessen)."
32,"Organic matter as Org. C., 0.18% carbonate, 0.12% total N. PSD from G. Dumbeck (Ph.D.  Thesis, Univ. of Giessen)."
33,"Organic matter as Org. C., 0.27% carbonate, 0.12% total N. PSD from G. Dumbeck (Ph.D.  Thesis, Univ. of Giessen)."
34,"Organic matter as Org. C., 5.13% carbonate, 0.05% total N. Particle density with pycnometer. PSD by sieving and sedimentation."
35,Tap water
36,"Particle density with pycnometer, organic matter with wet combustion and multiplication by 1.724 (Mebius, 1967), PSD by sonic vibration dispersion and pipette method."
37,4.81% CaCO3
38,"Organic matter as Org. C., 0.06% carbonate, 0.10% total N. Particle density with pycnometer. PSD by sieving and sedimentation."
39,PSD with wet sieving and pipette method.  Particle density with pycnometer. Organic matter as Org. C. pH-CaCl2
40,PSD with wet sieving and pipette method.  Particle density with pycnometer. Organic matter as Org. C. pH CaCl2
41,"The texture by pipette method, using NaPO3 as dispersing agent. Organic matter obtained with Walkley-Black method. pH in 1:10 H2O suspension."
42,"Texture determined by pipette method, using NaPO3 as dispersing agent. Organic matter obtained with Walkley-Black method. pH in 1:10 H2O suspension."
43,Bulk density from 12 core samples after lab retention measurement. Particle density estimated from Molokai soil. Saturated conductivity from steady infiltration in the field. Saturated water content at 10 cm suction.
44,"Bulk density from 24 core samples after lab retention measurement, averaged over 2 depths. Particle density estimated from Molokai soil. Saturated conductivity from steady infiltration in the field. Saturated water content at 10 cm suction."
45,"Bulk density from 12 core samples after lab retention measurement, averaged over 2 depths. Particle density estimated from Molokai soil. Saturated conductivity from steady infiltration in the field. Saturated water content at 10 cm suction."
