code,preshead,conductivity
1010,18.0,45.6
1010,27.0,36.96
1010,34.0,30.0
1010,39.0,24.24
1010,42.0,19.75
1010,47.0,11.18
1010,51.0,1.814
1010,79.0,1.08
1010,88.0,0.432
1010,90.0,0.08928
1010,110.0,0.02203
1011,15.0,90.24
1011,20.0,81.12
1011,25.0,66.96
1011,28.0,55.68
1011,31.0,46.56
1011,34.0,27.84
1011,38.0,7.944
1011,40.0,2.282
1011,51.0,1.111
1011,58.0,0.348
1011,71.0,0.1056
1011,73.0,0.00998
1012,10.0,1337.0
1012,11.0,852.0
1012,16.0,619.2
1012,20.0,439.2
1012,22.0,314.4
1012,27.0,141.1
1012,33.0,37.2
1012,36.0,11.35
1012,38.0,5.256
1012,41.0,3.264
1012,46.0,1.805
1012,51.0,0.8712
1012,57.0,0.3312
1012,63.0,0.1159
1012,65.0,0.05976
1013,0.0,191.3
1013,3.0,188.9
1013,9.0,151.2
1013,20.0,71.04
1013,27.0,27.84
1013,30.0,11.11
1013,35.0,3.72
1013,41.0,1.572
1013,48.0,0.8568
1013,57.0,0.3384
1013,60.0,0.1908
1013,63.0,0.08136
1013,64.0,0.05568
1014,0.0,77.76
1014,7.0,41.04
1014,14.0,14.16
1014,22.0,4.92
1014,31.0,2.4
1014,37.0,1.567
1014,40.0,0.1822
1014,43.0,0.7992
1014,44.0,0.4968
1015,0.0,77.76
1015,7.0,41.04
1015,14.0,14.16
1015,22.0,4.92
1015,31.0,2.4
1015,37.0,1.567
1015,43.0,0.7992
1015,44.0,0.4968
1015,40.0,0.1822
1020,33.0,156.0
1020,35.0,79.2
1020,38.0,18.0
1020,39.0,5.04
1020,40.0,4.212
1020,41.0,2.04
1020,43.0,3.12
1020,44.0,1.794
1020,45.0,0.9814
1020,46.0,0.6
1020,48.0,0.4883
1020,49.0,0.288
1020,50.0,0.264
1020,54.0,0.216
1020,55.0,0.192
1020,57.0,0.1512
1020,59.0,0.168
1020,67.0,0.1176
1020,68.0,0.1416
1020,73.0,0.0864
1020,74.0,0.0864
1020,79.0,0.072
1020,81.0,0.06
1020,84.0,0.0384
1020,86.0,0.0312
1020,88.0,0.02208
1020,91.0,0.02304
1020,96.0,0.01296
1020,99.0,0.01152
1021,29.0,235.2
1021,30.0,264.0
1021,34.0,61.44
1021,35.0,26.4
1021,36.0,16.32
1021,38.0,11.76
1021,39.0,9.84
1021,40.0,6.956
1021,41.0,5.147
1021,43.0,3.6
1021,44.0,2.376
1021,45.0,1.512
1021,46.0,1.44
1021,49.0,0.7099
1021,51.0,0.5608
1021,54.0,0.432
1021,55.0,0.336
1021,65.0,0.336
1021,67.0,0.264
1021,68.0,0.1632
1021,72.0,0.144
1021,74.0,0.1272
1021,78.0,0.1128
1021,79.0,0.06
1021,82.0,0.04503
1021,84.0,0.0336
1021,85.0,0.02304
1021,90.0,0.02064
1022,9.0,1920.0
1022,16.0,720.0
1022,21.0,232.8
1022,22.0,384.0
1022,25.0,100.8
1022,26.0,312.0
1022,27.0,74.94
1022,30.0,43.2
1022,31.0,55.36
1022,32.0,21.7
1022,33.0,18.0
1022,35.0,12.89
1022,36.0,14.4
1022,37.0,6.917
1022,39.0,6.332
1022,41.0,2.798
1022,43.0,1.776
1022,44.0,1.954
1022,46.0,1.32
1022,47.0,1.416
1022,50.0,0.7777
1022,51.0,0.36
1022,54.0,0.288
1022,55.0,0.552
1022,57.0,0.288
1022,58.0,0.408
1022,59.0,0.1968
1022,61.0,0.2328
1022,63.0,0.2064
1022,64.0,0.1824
1022,65.0,0.1512
1022,66.0,0.1507
1022,71.0,0.1052
1022,78.0,0.576
1023,8.0,816.0
1023,12.0,552.0
1023,16.0,480.0
1023,17.0,336.0
1023,22.0,79.2
1023,26.0,28.32
1023,28.0,23.04
1023,32.0,16.8
1023,36.0,3.84
1023,38.0,2.4
1023,45.0,0.96
1023,47.0,0.36
1023,50.0,0.24
1023,53.0,0.1632
1024,7.0,288.0
1024,14.0,72.0
1024,20.0,24.0
1024,37.0,4.32
1024,46.0,1.872
1024,51.0,1.104
1024,58.0,0.672
1024,62.0,0.528
1024,67.0,0.432
1030,,
1031,,
1032,,
1040,,
1041,,
1042,,
1043,,
1050,,
1051,,
1052,,
1053,,
1054,,
1060,,
1061,,
1062,,
1063,,
1070,,
1071,,
1072,,
1073,,
1074,,
1075,,
1080,,
1081,,
1082,,
1083,,
1084,,
1085,,
1086,,
1087,,
1090,,
1091,,
1092,,
1100,,
1101,,
1102,,
1103,,
1104,,
1110,,
1111,,
1112,,
1113,,
1114,,
1115,,
1116,,
1117,,
1120,,
1121,,
1122,,
1123,,
1130,,
1131,,
1132,,
1133,,
1134,,
1135,,
1140,,
1141,,
1142,,
1143,,
1150,,
1151,,
1152,,
1160,,
1161,,
1162,,
1163,,
1164,,
1165,,
1166,,
1170,,
1171,,
1172,,
1173,,
1174,,
1180,11.0,3.648
1180,23.0,0.1522
1180,28.0,0.2976
1180,33.0,0.0672
1180,39.0,0.1097
1180,53.0,0.03384
1180,73.0,0.02664
1180,89.0,0.02268
1180,104.0,0.02028
1180,117.0,0.01874
1180,134.0,0.01735
1181,0.0,8.328
1181,6.0,2.784
1181,18.0,1.639
1181,25.0,0.3216
1181,31.0,0.492
1181,38.0,0.113
1181,43.0,0.144
1181,53.0,0.04176
1181,67.0,0.036
1181,78.0,0.04032
1181,88.0,0.05496
1181,96.0,0.09984
1181,135.0,0.00758
1182,0.0,3.192
1182,10.0,2.311
1182,21.0,0.9792
1182,31.0,0.7728
1182,40.0,0.3192
1182,47.0,0.2712
1182,58.0,0.07344
1182,71.0,0.05304
1182,78.0,0.04344
1182,83.0,0.0372
1182,88.0,0.03288
1182,99.0,0.02424
1182,105.0,0.0216
1182,130.0,0.00506
1183,0.0,1.769
1183,13.0,1.632
1183,26.0,0.828
1183,37.0,0.6144
1183,54.0,0.24
1183,64.0,0.0768
1183,76.0,0.05496
1183,83.0,0.0444
1183,88.0,0.03768
1183,93.0,0.03312
1183,99.0,0.02808
1183,116.0,0.1954
1183,130.0,0.00564
1184,30.0,2.712
1184,36.0,0.6528
1184,42.0,0.7992
1184,49.0,0.5328
1184,54.0,0.3936
1184,63.0,0.1469
1184,73.0,0.0912
1184,77.0,0.06984
1184,79.0,0.05976
1184,93.0,0.04752
1184,99.0,0.04656
1184,114.0,0.0468
1184,123.0,0.036
1190,20.0,1.33
1190,37.0,0.3073
1190,48.0,0.1566
1190,54.0,0.104
1190,59.0,0.07742
1190,63.0,0.06312
1190,67.0,0.05242
1190,71.0,0.04462
1190,76.0,0.03667
1190,80.0,0.0312
1190,82.0,0.02837
1190,84.0,0.02606
1190,86.0,0.02405
1190,88.0,0.02258
1190,90.0,0.02107
1190,91.0,0.01966
1190,92.0,0.01843
1190,94.0,0.0174
1190,95.0,0.01646
1190,97.0,0.0155
1190,98.0,0.01454
1190,100.0,0.01354
1190,101.0,0.01265
1190,104.0,0.01171
1190,107.0,0.01087
1190,108.0,0.01015
1190,110.0,0.00953
1190,112.0,0.00893
1190,113.0,0.00842
1190,116.0,0.00804
1190,117.0,0.00763
1190,118.0,0.00727
1190,120.0,0.0068
1190,122.0,0.00636
1190,123.0,0.00612
1190,124.0,0.00588
1190,126.0,0.00566
1190,129.0,0.00547
1190,131.0,0.0052
1190,132.0,0.00492
1190,133.0,0.0047
1190,134.0,0.00445
1190,135.0,0.00425
1190,138.0,0.00409
1190,141.0,0.00389
1190,145.0,0.00371
