code,preshead,theta
1010,13.0,0.29
1010,23.0,0.27
1010,31.0,0.26
1010,37.0,0.25
1010,41.0,0.24
1010,44.0,0.23
1010,51.0,0.19
1010,53.0,0.18
1010,56.0,0.18
1010,71.0,0.15
1010,86.0,0.14
1010,89.0,0.13
1010,91.0,0.13
1010,92.0,0.13
1010,96.0,0.12
1010,103.0,0.12
1010,109.0,0.11
1011,6.0,0.28
1011,14.0,0.26
1011,19.0,0.28
1011,20.0,0.25
1011,24.0,0.23
1011,25.0,0.25
1011,28.0,0.22
1011,29.0,0.23
1011,30.0,0.21
1011,32.0,0.22
1011,34.0,0.21
1011,37.0,0.19
1011,39.0,0.17
1011,40.0,0.17
1011,41.0,0.16
1011,42.0,0.16
1011,44.0,0.16
1011,45.0,0.16
1011,47.0,0.14
1011,48.0,0.14
1011,51.0,0.13
1011,57.0,0.12
1011,59.0,0.13
1011,61.0,0.12
1011,62.0,0.1
1011,64.0,0.12
1011,66.0,0.11
1011,67.0,0.12
1011,72.0,0.12
1011,75.0,0.11
1011,77.0,0.11
1012,0.0,0.31
1012,5.0,0.25
1012,9.0,0.28
1012,12.0,0.27
1012,26.0,0.3
1012,23.0,0.25
1012,28.0,0.26
1012,30.0,0.16
1012,31.0,0.25
1012,32.0,0.14
1012,33.0,0.13
1012,34.0,0.17
1012,35.0,0.22
1012,38.0,0.14
1012,39.0,0.19
1012,40.0,0.16
1012,42.0,0.15
1012,43.0,0.15
1012,44.0,0.13
1012,45.0,0.15
1012,49.0,0.13
1012,52.0,0.11
1012,53.0,0.13
1012,54.0,0.1
1012,57.0,0.1
1012,60.0,0.1
1012,62.0,0.11
1012,63.0,0.11
1012,66.0,0.11
1012,68.0,0.1
1013,0.0,0.31
1013,7.0,0.28
1013,19.0,0.23
1013,25.0,0.19
1013,28.0,0.17
1013,30.0,0.16
1013,37.0,0.14
1013,47.0,0.13
1013,54.0,0.12
1013,59.0,0.11
1013,62.0,0.1
1013,66.0,0.1
1013,67.0,0.1
1013,68.0,0.1
1014,,
1015,,
1020,,
1021,,
1022,,
1023,,
1024,,
1030,,
1031,,
1032,,
1040,,
1041,,
1042,,
1043,,
1050,,
1051,,
1052,,
1053,,
1054,,
1060,,
1061,,
1062,,
1063,,
1070,,
1071,,
1072,,
1073,,
1074,,
1075,,
1080,,
1081,,
1082,,
1083,,
1084,,
1085,,
1086,,
1087,,
1090,,
1091,,
1092,,
1100,,
1101,,
1102,,
1103,,
1104,,
1110,,
1111,,
1112,,
1113,,
1114,,
1115,,
1116,,
1117,,
1120,33.0,0.22
1120,40.0,0.2
1120,47.0,0.19
1120,57.0,0.18
1120,66.0,0.18
1120,78.0,0.17
1120,96.0,0.16
1121,1.0,0.29
1121,9.0,0.29
1121,12.0,0.28
1121,18.0,0.28
1121,23.0,0.27
1121,29.0,0.28
1121,30.0,0.26
1121,34.0,0.26
1121,37.0,0.28
1121,39.0,0.24
1121,46.0,0.27
1121,47.0,0.25
1121,49.0,0.23
1121,54.0,0.25
1121,60.0,0.27
1121,61.0,0.22
1121,64.0,0.24
1121,68.0,0.22
1121,77.0,0.21
1121,79.0,0.24
1121,91.0,0.21
1122,1.0,0.31
1122,7.0,0.3
1122,13.0,0.3
1122,21.0,0.3
1122,25.0,0.3
1122,32.0,0.3
1122,46.0,0.3
1123,4.0,0.31
1123,8.0,0.31
1123,30.0,0.31
1130,0.0,0.37
1130,6.0,0.34
1130,14.0,0.33
1130,22.0,0.31
1130,28.0,0.3
1130,29.0,0.3
1130,31.0,0.3
1130,34.0,0.3
1130,37.0,0.29
1130,42.0,0.28
1130,48.0,0.27
1130,54.0,0.27
1130,64.0,0.26
1131,0.0,0.29
1131,10.0,0.29
1131,17.0,0.28
1131,20.0,0.27
1131,21.0,0.24
1131,25.0,0.24
1131,28.0,0.23
1131,32.0,0.23
1131,38.0,0.22
1131,44.0,0.22
1131,51.0,0.22
1131,62.0,0.21
1132,0.0,0.37
1132,3.0,0.37
1132,12.0,0.36
1132,14.0,0.36
1132,15.0,0.34
1132,16.0,0.33
1132,17.0,0.32
1132,19.0,0.32
1132,24.0,0.32
1132,32.0,0.31
1132,38.0,0.32
