code,theta,conductivity
1010,0.282,45.6
1010,0.265,36.96
1010,0.251,30.0
1010,0.24,24.24
1010,0.231,19.75
1010,0.215,11.18
1010,0.192,3.05
1010,0.145,0.432
1010,0.134,0.08928
1010,0.132,0.02203
1010,0.11,0.002
1011,0.274,90.24
1011,0.255,81.12
1011,0.239,66.96
1011,0.227,55.68
1011,0.217,46.56
1011,0.199,27.84
1011,0.178,7.944
1011,0.169,2.282
1011,0.135,1.111
1011,0.124,0.348
1011,0.117,0.1056
1011,0.1,0.00998
1012,0.307,1337.0
1012,0.292,852.0
1012,0.278,619.2
1012,0.265,439.2
1012,0.254,314.4
1012,0.227,141.1
1012,0.184,37.2
1012,0.154,11.35
1012,0.142,5.256
1012,0.138,3.264
1012,0.134,1.805
1012,0.123,0.8712
1012,0.106,0.3312
1012,0.099,0.1159
1012,0.101,0.05976
1013,0.314,191.3
1013,0.311,188.9
1013,0.296,151.2
1013,0.255,71.04
1013,0.208,27.84
1013,0.172,11.11
1013,0.145,3.72
1013,0.13,1.572
1013,0.12,0.8568
1013,0.104,0.3384
1013,0.098,0.1908
1013,0.097,0.05568
1013,0.095,0.08136
1014,0.285,77.76
1014,0.269,41.04
1014,0.242,14.16
1014,0.209,4.92
1014,0.184,2.4
1014,0.171,1.567
1014,0.152,0.7992
1014,0.14,0.4968
1014,0.122,0.1822
1015,0.285,77.76
1015,0.269,41.04
1015,0.242,14.16
1015,0.209,4.92
1015,0.184,2.4
1015,0.171,1.567
1015,0.152,0.7992
1015,0.14,0.4968
1015,0.122,0.1822
1020,0.21,156.0
1020,0.197,79.2
1020,0.185,5.04
1020,0.184,18.0
1020,0.183,2.64
1020,0.181,2.04
1020,0.177,3.238
1020,0.176,1.056
1020,0.175,0.6
1020,0.173,0.432
1020,0.172,0.288
1020,0.169,0.774
1020,0.168,2.064
1020,0.167,0.168
1020,0.166,0.912
1020,0.163,0.552
1020,0.161,0.264
1020,0.159,0.216
1020,0.157,0.1512
1020,0.155,0.1416
1020,0.148,0.0864
1020,0.147,0.1176
1020,0.144,0.06
1020,0.14,0.0864
1020,0.136,0.0312
1020,0.134,0.072
1020,0.133,0.02304
1020,0.129,0.02103
1020,0.126,0.02208
1020,0.122,0.01296
1021,0.216,235.2
1021,0.186,26.4
1021,0.181,264.0
1021,0.175,11.76
1021,0.169,6.956
1021,0.166,5.147
1021,0.164,61.44
1021,0.16,2.376
1021,0.157,16.32
1021,0.156,1.44
1021,0.152,0.7099
1021,0.15,0.5608
1021,0.148,9.84
1021,0.146,0.336
1021,0.14,3.6
1021,0.137,1.512
1021,0.135,0.264
1021,0.13,0.144
1021,0.129,0.432
1021,0.126,0.1128
1021,0.123,0.04503
1021,0.123,0.336
1021,0.122,0.0336
1021,0.122,0.1632
1021,0.12,0.1272
1021,0.119,0.02064
1021,0.118,0.06
1021,0.116,0.02304
1022,0.286,1920.0
1022,0.219,720.0
1022,0.19,384.0
1022,0.188,312.0
1022,0.178,232.8
1022,0.168,67.2
1022,0.167,93.6
1022,0.163,33.6
1022,0.156,45.6
1022,0.154,51.59
1022,0.152,18.0
1022,0.15,21.36
1022,0.149,13.92
1022,0.147,60.0
1022,0.146,11.46
1022,0.144,5.76
1022,0.143,10.8
1022,0.141,2.64
1022,0.14,43.2
