code,family,series,texture,structure,depth_upper,depth_lower,horizon,depth_gwater,location,site_ID,annual_rain,avetemp_jan,avetemp_jul,date,publication_ID,keyword,contact_person_ID,rating,rated_by
1010,"loamy, siliceous, thermic Grossarenic Paleudult",Troup,loamy sand,weak granular,0.0,24.0,Ap,500.0,"Union Springs, AL, USA",West plot,140.0,7.8,26.7,1979,1.0,undisturbed,1.0,,
1011,"loamy, siliceous, thermic Grossarenic Paleudult",Troup,loamy sand,massive single grain,24.0,58.0,A21,500.0,"Union Springs, AL, USA",West plot,140.0,7.8,26.7,1979,1.0,undisturbed,1.0,,
1012,"loamy, siliceous, thermic Grossarenic Paleudult",Troup,loamy sand,massive single grain,58.0,92.0,A22,500.0,"Union Springs, AL, USA",West plot,140.0,7.8,26.7,1979,1.0,undisturbed,1.0,,
1013,"loamy, siliceous, thermic Grossarenic Paleudult",Troup,loamy sand,massive single grain,92.0,123.0,A23,500.0,"Union Springs, AL, USA",West plot,140.0,7.8,26.7,1979,1.0,undisturbed,1.0,,
1014,"loamy, siliceous, thermic Grossarenic Paleudult",Troup,sand,weak subangular blocky,123.0,134.0,B1,500.0,"Union Springs, Al, USA",West plot,140.0,7.8,26.7,1979,1.0,undisturbed,1.0,,
1015,"loamy, siliceous, thermic Grossarenic Paleudult",Troup,loamy sand,weak subangular blocky,134.0,154.0,B21t,,"Union Springs, AL, USA",West plot,,,,1979,1.0,undisturbed,1.0,,
1020,,Lakeland,sand,weak medium granular,0.0,23.0,Ap,,"Blackville, SC, USA","Plot 1, Edisto Station, Clemson Univ.",,,,,1.0,undisturbed,2.0,,
1021,,Lakeland,sand,weak medium granular,23.0,41.0,C1,,"Blackville, SC, USA","Plot 1, Edisto Station, Clemson Univ.",,,,,1.0,undisturbed,2.0,,
1022,,Lakeland,sand,weak medium granular,41.0,81.0,C2,,"Blackville, SC, USA","Plot 1, Edisto Station, Clemson Univ.",,,,,1.0,undisturbed,2.0,,
1023,,Lakeland,sand,weak medium granular,81.0,106.0,C3,,"Blackville, SC, USA","Plot 1, Edisto Station, Clemson Univ.",,,,,1.0,undisturbed,2.0,,
1024,,Lakeland,sand,weak medium granular,106.0,125.0,C4,,"Blackville, SC, USA","Plot 1, Edisto Station, Clemson Univ.",,,,,1.0,undisturbed,2.0,,
1030,"loamy, siliceous, thermic Grossarenic Paleudult",Troup,loamy sand,very friable,0.0,15.0,Ap,,"Jay, FL, USA","IFAS Ag Res Ctr, Plot 2, NW 1/4 of NE 1/4, S 16, R 29W, T 3N",,,,,1.0,undisturbed,3.0,,
1031,"loamy, siliceous, thermic Grossarenic Paleudult",Troup,loamy sand,single grain,15.0,41.0,A21,,"Jay, FL, USA","IFAS Ag Res Ctr, Plot 2, NW 1/4 of NE 1/4, S 16, R 29W, T 3N",,,,,1.0,undisturbed,3.0,,
1032,"loamy, siliceous, thermic Grossarenic Paleudult",Troup,loamy sand,single grain,41.0,71.0,A22,,"Jay, FL, USA","IFAS Ag Res Ctr, Plot 2, NW 1/4 of NE 1/4, S 16, R 29W, T 3N",,,,,1.0,undisturbed,3.0,,
1040,Typic Quartzipsamment,Lakeland,sand,friable,0.0,20.0,Ap,,"Live Oak, FL, USA","IFAS Ag Res Ctr, Plot 78-2, SE 1/4 of NE 1/4, S22, R14E, T25",,,,,1.0,undisturbed,3.0,,
1041,Typic Quartzipsamment,Lakeland,sand,single grain,20.0,69.0,C1,,"Live Oak, FL, USA","IFAS Ag Res Ctr, Plot 78-2, SE 1/4 of NE 1/4, S22, R14W, T25",,,,,1.0,undisturbed,3.0,,
1042,Typic Quartzipsamment,Lakeland,sand,single grain,69.0,129.0,C2,,"Live Oak, FL, USA","IFAS Ag Res Ctr, Plot 78-2, SE 1/4 of NE 1/4, S22, R14W, T25",,,,,1.0,undisturbed,3.0,,
1043,Typic Quartzipsamment,Lakeland,sand,single grain,129.0,180.0,C3,,"Live Oak, FL, USA","IFAS Ag Res Ctr, Plot 78-2, SE 1/4 of NE 1/4, S22, R14W, T25",,,,,1.0,undisturbed,3.0,,
1050,"thermic, coated typic Quartzipsamment",Lakeland,sand,,0.0,20.0,Ap,,"Lillington, NC, USA",Plot 2,,,,,1.0,undisturbed,4.0,,
