code,preshead,conductivity
1010,,
1011,,
1012,,
1013,,
1014,,
1015,,
1020,,
1021,,
1022,,
1023,,
1024,,
1030,,
1031,,
1032,,
1040,,
1041,,
1042,,
1043,,
1050,,
1051,,
1052,,
1053,,
1054,,
1060,,
1061,,
1062,,
1063,,
1070,,
1071,,
1072,,
1073,,
1074,,
1075,,
1080,26.0,3.816
1080,33.0,6.216
1080,35.0,6.792
1080,41.0,5.376
1080,49.0,5.832
1080,53.0,4.032
1080,59.0,0.8808
1080,62.0,2.23
1080,68.0,0.7896
1080,76.0,1.068
1080,82.0,0.468
1080,91.0,0.5448
1080,98.0,0.1848
1080,107.0,0.3432
1080,114.0,0.109
1080,122.0,0.2321
1080,131.0,0.05088
1080,142.0,0.0348
1081,34.0,3.864
1081,35.0,0.996
1081,50.0,0.1697
1081,52.0,0.162
1081,61.0,0.1157
1081,61.0,0.04152
1081,69.0,0.08304
1081,69.0,0.162
1081,79.0,0.05688
1081,84.0,0.036
1081,100.0,0.01385
1081,106.0,0.03384
1081,131.0,0.01018
1081,137.0,0.00324
1082,33.0,7.032
1082,34.0,2.287
1082,49.0,4.152
1082,52.0,0.4968
1082,60.0,0.7032
1082,61.0,0.1687
1082,68.0,0.4512
1082,68.0,0.6
1082,79.0,0.1399
1082,84.0,0.1759
1082,101.0,0.0408
1082,107.0,0.054
1082,133.0,0.02688
1082,145.0,0.01073
1083,31.0,11.66
1083,32.0,4.8
1083,47.0,7.152
1083,51.0,3.216
1083,58.0,1.884
1083,60.0,1.114
1083,66.0,1.08
1083,67.0,1.656
1083,78.0,0.2712
1083,83.0,0.552
1083,101.0,0.1978
1083,107.0,0.2026
1083,132.0,0.2664
1083,147.0,0.1632
1084,28.0,19.39
1084,30.0,9.624
1084,44.0,11.14
1084,49.0,7.368
1084,55.0,4.056
1084,57.0,2.544
1084,64.0,2.369
1084,65.0,1.099
1084,77.0,0.336
1084,82.0,0.48
1084,100.0,0.2134
1084,107.0,0.2266
1084,130.0,0.5088
1084,146.0,0.2381
1085,25.0,27.12
1085,27.0,13.01
1085,41.0,15.65
1085,46.0,10.63
1085,53.0,3.264
1085,55.0,2.64
1085,64.0,1.133
1085,64.0,1.14
1085,78.0,0.4704
1085,84.0,0.3072
1085,100.0,0.1514
1085,110.0,0.168
1085,130.0,0.09744
1085,148.0,0.08016
1086,22.0,29.28
1086,24.0,12.58
1086,38.0,19.1
1086,43.0,6.552
1086,51.0,4.656
1086,53.0,3.504
1086,63.0,3.84
1086,64.0,2.304
1086,80.0,0.4152
1086,87.0,0.444
1086,103.0,0.1217
1086,117.0,0.125
1086,140.0,0.03984
1086,157.0,0.04632
1087,20.0,31.92
1087,23.0,5.04
1087,36.0,7.752
1087,42.0,4.968
1087,50.0,2.496
1087,53.0,1.632
1087,64.0,1.231
1087,64.0,1.013
1087,83.0,0.221
1087,92.0,0.1622
1087,111.0,0.05568
1087,129.0,0.07752
1087,156.0,0.03072
1087,169.0,0.04272
1090,,
1091,,
1092,,
1100,,
1101,,
1102,,
1103,,
1104,,
1110,,
1111,,
1112,,
1113,,
1114,,
1115,,
1116,,
1117,,
1120,,
1121,,
1122,,
1123,,
1130,,
1131,,
1132,,
1133,,
1134,,
1135,,
1140,,
1141,,
1142,,
1143,,
1150,,
1151,,
1152,,
1160,,
1161,,
1162,,
1163,,
1164,,
1165,,
1166,,
1170,,
1171,,
1172,,
1173,,
1174,,
1180,,
1181,,
1182,,
1183,,
1184,,
1190,,
1191,,
1192,,
1193,,
1194,,
1200,,
1201,,
1202,,
1203,,
1204,,
1210,,
1211,,
1212,,
1213,,
1220,,
1221,,
1222,,
1223,,
1224,,
1225,,
1230,,
1231,,
1232,,
1233,,
1234,,
1235,,
1236,,
1237,,
1240,0.0,745.9
1240,18.0,202.6
1240,21.0,68.17
1240,22.0,85.54
1240,29.0,8.726
1240,47.0,1.16
1240,83.0,0.09418
1240,84.0,0.1374
1240,140.0,0.00665
1241,0.0,688.2
1241,20.0,219.9
1241,23.0,44.15
1241,35.0,14.69
1241,42.0,3.655
1241,52.0,1.858
1241,72.0,0.4597
1241,76.0,0.4303
1241,125.0,0.02998
1241,130.0,0.02903
1241,170.0,0.00968
1241,175.0,0.00933
1241,200.0,0.00482
1241,215.0,0.00467
1260,,
1261,,
1270,0.0,0.184
1270,100.0,0.029
1270,250.0,0.013
1270,500.0,0.00785
1270,1000.0,0.00314
1280,17.0,5.65
1280,22.0,6.25
1280,28.0,2.25
1280,29.0,2.26
1280,42.0,1.61
1280,43.0,3.38
1280,43.0,4.01
1280,55.0,5.07
1280,61.0,1.04
1280,80.0,2.28
1280,80.0,1.7
1280,82.0,1.03
1280,87.0,1.33
1280,92.0,1.53
1280,94.0,0.83
1280,121.0,0.586
1280,126.0,0.532
1280,128.0,0.434
1280,131.0,0.527
1280,145.0,0.938
1280,159.0,0.643
1280,179.0,0.178
1280,189.0,0.0608
1280,193.0,0.129
1280,205.0,0.0837
1280,216.0,0.109
1280,224.0,0.0794
1280,232.0,0.135
1280,243.0,0.0433
1280,247.0,0.0468
1280,299.0,0.0353
1280,303.0,0.0362
1280,307.0,0.0262
1280,319.0,0.0215
1280,342.0,0.0255
1280,373.0,0.0214
1280,411.0,0.0122
1280,412.0,0.0112
1280,416.0,0.0158
1280,417.0,0.0103
1280,423.0,0.0112
1280,430.0,0.00687
1280,504.0,0.00584
1280,516.0,0.00638
1280,519.0,0.00508
1280,520.0,0.0054
