code,preshead,theta
1010,0.0,0.38
1010,10.0,0.348
1010,20.0,0.328
1010,30.0,0.319
1010,50.0,0.212
1010,100.0,0.138
1010,200.0,0.11
1010,500.0,0.087
1010,1000.0,0.069
1011,0.0,0.4113
1011,10.0,0.3807
1011,20.0,0.3678
1011,30.0,0.3207
1011,50.0,0.1765
1011,100.0,0.1123
1011,200.0,0.0917
1011,500.0,0.0727
1011,1000.0,0.0573
1012,0.0,0.3811
1012,10.0,0.35
1012,20.0,0.3339
1012,30.0,0.2913
1012,50.0,0.1585
1012,100.0,0.1036
1012,200.0,0.0851
1012,500.0,0.0684
1012,1000.0,0.053
1012,1050.0,0.0479
1013,0.0,0.376
1013,10.0,0.35
1013,20.0,0.3299
1013,30.0,0.2582
1013,40.0,0.1894
1013,50.0,0.1583
1013,70.0,0.1129
1013,100.0,0.0855
1013,200.0,0.0669
1013,430.0,0.0535
1013,640.0,0.0435
1013,1050.0,0.0314
1014,0.0,0.3615
1014,20.0,0.324
1014,30.0,0.2655
1014,40.0,0.1945
1014,50.0,0.16
1014,70.0,0.111
1014,100.0,0.0795
1014,200.0,0.057
1014,430.0,0.0445
1014,640.0,0.0365
1014,1050.0,0.0265
1015,0.0,0.2628
1015,20.0,0.237
1015,30.0,0.223
1015,40.0,0.211
1015,50.0,0.2035
1015,70.0,0.1855
1015,100.0,0.169
1015,200.0,0.151
1015,430.0,0.1399
1015,640.0,0.131
1015,1050.0,0.1159
1020,0.0,0.4178
1020,5.0,0.3744
1020,12.0,0.3505
1020,24.0,0.2657
1020,34.0,0.198
1020,54.0,0.1649
1020,80.0,0.1384
1020,122.0,0.122
1020,325.0,0.107
1020,821.0,0.0955
1021,0.0,0.361
1021,5.0,0.34
1021,12.0,0.252
1021,24.0,0.203
1021,34.0,0.162
1021,54.0,0.13
1021,80.0,0.119
1021,122.0,0.102
1021,325.0,0.084
1021,821.0,0.074
1022,0.0,0.3636
1022,5.0,0.3326
1022,12.0,0.238
1022,24.0,0.175
1022,34.0,0.1465
1022,54.0,0.1175
1022,80.0,0.096
1022,122.0,0.0834
1022,325.0,0.0539
1022,821.0,0.064
1023,0.0,0.335
1023,5.0,0.303
1023,12.0,0.193
1023,24.0,0.134
1023,34.0,0.115
1023,54.0,0.094
1023,80.0,0.079
1023,122.0,0.07
1023,325.0,0.039
1024,0.0,0.316
1024,5.0,0.288
1024,12.0,0.198
1024,24.0,0.127
1024,34.0,0.108
1024,54.0,0.086
1024,80.0,0.076
1024,122.0,0.068
1024,325.0,0.043
1030,3.0,0.3708
1030,20.0,0.3506
1030,30.0,0.3397
1030,45.0,0.248
1030,60.0,0.2231
1030,80.0,0.175
1030,100.0,0.1599
1030,150.0,0.145
1030,200.0,0.1363
1030,345.0,0.1206
1030,15000.0,0.04
1031,3.0,0.3453
1031,20.0,0.3342
1031,30.0,0.3204
1031,45.0,0.2582
1031,60.0,0.2059
1031,80.0,0.1738
1031,100.0,0.1578
1031,150.0,0.1398
1031,200.0,0.1313
1031,345.0,0.1145
1031,15000.0,0.04
1032,3.0,0.3503
1032,20.0,0.327
1032,30.0,0.3145
1032,45.0,0.2525
1032,60.0,0.213
1032,80.0,0.1852
1032,100.0,0.1701
1032,150.0,0.1516
1032,200.0,0.1414
1032,345.0,0.1094
1032,15000.0,0.0363
1040,3.0,0.3228
1040,20.0,0.3175
1040,25.0,0.3145
1040,30.0,0.3085
1040,40.0,0.2687
1040,50.0,0.2079
1040,60.0,0.1684
1040,80.0,0.1308
1040,100.0,0.113
1040,150.0,0.0952
1040,200.0,0.0888
1040,350.0,0.0823
1041,3.0,0.3246
1041,20.0,0.313
1041,25.0,0.2986
1041,30.0,0.2847
1041,40.0,0.2215
1041,50.0,0.1684
1041,60.0,0.1336
1041,80.0,0.1022
1041,100.0,0.0876
1041,150.0,0.0738
1041,200.0,0.0688
1041,350.0,0.0633
1042,3.0,0.3322
1042,20.0,0.3225
1042,25.0,0.3077
1042,30.0,0.2905
1042,40.0,0.2205
1042,50.0,0.1623
1042,60.0,0.1261
1042,80.0,0.0895
1042,100.0,0.0749
1042,150.0,0.0613
1042,200.0,0.0569
1042,350.0,0.0526
1043,3.0,0.3153
1043,20.0,0.3027
1043,25.0,0.3008
1043,30.0,0.2912
1043,40.0,0.2328
1043,50.0,0.165
1043,60.0,0.121
1043,80.0,0.0775
1043,100.0,0.0609
1043,150.0,0.0486
1043,200.0,0.0439
1043,350.0,0.0398
1050,0.0,0.3841
1050,4.0,0.3535
1050,10.0,0.3474
1050,20.0,0.294
1050,30.0,0.1977
1050,40.0,0.1418
1050,50.0,0.1198
1050,60.0,0.1094
1050,100.0,0.0883
1050,140.0,0.0803
1050,180.0,0.0758
1050,240.0,0.0713
1050,320.0,0.0687
1050,400.0,0.0659
1051,0.0,0.3897
1051,4.0,0.3554
1051,10.0,0.3316
1051,20.0,0.2316
1051,30.0,0.1436
1051,40.0,0.1198
1051,50.0,0.1066
1051,240.0,0.0713
1051,320.0,0.0687
1051,400.0,0.0659
1052,0.0,0.3656
1052,4.0,0.3302
1052,10.0,0.316
1052,20.0,0.1677
1052,30.0,0.1129
1052,40.0,0.0931
1052,50.0,0.0832
1052,60.0,0.0772
1052,100.0,0.0664
1052,140.0,0.0645
1052,180.0,0.0626
1052,240.0,0.0601
1052,320.0,0.0577
1052,400.0,0.0567
1053,0.0,0.3663
1053,4.0,0.3099
1053,10.0,0.2969
1053,20.0,0.1416
1053,30.0,0.0793
1053,40.0,0.0608
1053,50.0,0.0496
1053,60.0,0.0486
1053,100.0,0.044
1053,140.0,0.0409
1053,180.0,0.0371
1053,240.0,0.0366
1053,320.0,0.0351
1053,400.0,0.0341
1054,0.0,0.3672
1054,4.0,0.3235
1054,10.0,0.3
1054,20.0,0.1054
1054,30.0,0.0589
1054,40.0,0.0442
1054,50.0,0.037
1054,60.0,0.0357
1054,100.0,0.0326
1054,140.0,0.0306
1054,180.0,0.0266
1054,240.0,0.0256
1054,320.0,0.0253
1054,400.0,0.0248
1060,0.0,0.3608
1060,4.0,0.3482
1060,10.0,0.3387
1060,20.0,0.2972
1060,30.0,0.1982
1060,40.0,0.1427
1060,50.0,0.1182
1060,60.0,0.1057
1060,100.0,0.0835
1060,140.0,0.0767
1060,180.0,0.0707
1060,240.0,0.0655
1060,320.0,0.0622
1060,400.0,0.059
1061,0.0,0.3505
1061,4.0,0.3264
1061,10.0,0.3194
1061,20.0,0.2599
1061,30.0,0.1469
1061,40.0,0.1082
1061,50.0,0.0899
1061,60.0,0.0807
1061,100.0,0.0627
1061,140.0,0.0585
1061,180.0,0.0535
1061,240.0,0.0505
1061,320.0,0.0475
1061,400.0,0.0455
1062,0.0,0.3413
1062,4.0,0.3162
1062,10.0,0.3107
1062,20.0,0.2437
1062,30.0,0.1642
1062,40.0,0.1257
1062,50.0,0.108
1062,60.0,0.0983
1062,100.0,0.0786
1062,140.0,0.0753
1062,180.0,0.0725
1062,240.0,0.0699
1062,320.0,0.0671
1062,400.0,0.0659
1063,0.0,0.3727
1063,4.0,0.3355
1063,10.0,0.3317
1063,20.0,0.2412
1063,30.0,0.1411
1063,40.0,0.0953
1063,50.0,0.0782
1063,60.0,0.0699
1063,100.0,0.0576
1063,140.0,0.0513
1063,180.0,0.0473
1063,240.0,0.0463
1063,320.0,0.0406
1063,400.0,0.0401
1070,0.0,0.4625
1070,4.0,0.4293
1070,10.0,0.4061
1070,20.0,0.29
1070,30.0,0.2143
1070,40.0,0.17
1070,50.0,0.1429
1070,60.0,0.1282
1070,100.0,0.1009
1070,140.0,0.0906
1070,180.0,0.0876
1070,240.0,0.0823
1070,320.0,0.0779
1070,400.0,0.0751
1071,0.0,0.309
1071,4.0,0.3027
1071,10.0,0.2801
1071,20.0,0.2294
1071,30.0,0.1483
1071,40.0,0.115
1071,50.0,0.1007
1071,60.0,0.0902
1071,100.0,0.0757
1071,140.0,0.0686
1071,180.0,0.0643
1071,240.0,0.0616
1071,320.0,0.0573
1071,400.0,0.0558
1072,0.0,0.3282
1072,4.0,0.3032
1072,10.0,0.2823
1072,20.0,0.1952
1072,30.0,0.1361
1072,40.0,0.104
1072,50.0,0.0873
1072,60.0,0.079
1072,100.0,0.0657
1072,140.0,0.0592
1072,180.0,0.0565
1072,240.0,0.0547
1072,320.0,0.0521
1072,400.0,0.0496
1073,0.0,0.3233
1073,4.0,0.2922
1073,10.0,0.2732
1073,20.0,0.1587
1073,30.0,0.1009
1073,40.0,0.0719
1073,50.0,0.0576
1073,60.0,0.0506
1073,100.0,0.0422
1073,140.0,0.0358
1073,180.0,0.034
1073,240.0,0.033
1073,320.0,0.0311
1073,400.0,0.03
1074,0.0,0.3611
1074,4.0,0.3278
1074,10.0,0.2594
1074,20.0,0.1412
1074,30.0,0.0859
1074,40.0,0.0647
1074,50.0,0.0539
1074,60.0,0.045
1074,100.0,0.0383
1074,140.0,0.0311
1074,180.0,0.0294
1074,240.0,0.0272
1074,320.0,0.0261
1074,400.0,0.0241
1075,0.0,0.3678
1075,4.0,0.3217
1075,10.0,0.2762
1075,20.0,0.1723
1075,30.0,0.1099
1075,40.0,0.0875
1075,50.0,0.0784
1075,60.0,0.0714
1075,100.0,0.065
1075,140.0,0.056
1075,180.0,0.0554
1075,240.0,0.0529
1075,320.0,0.0519
1075,400.0,0.0494
1080,,
1081,,
1082,,
1083,,
1084,,
1085,,
1086,,
1087,,
1090,0.0,0.3792
1090,4.0,0.3561
1090,10.0,0.3474
1090,20.0,0.3188
1090,30.0,0.2835
1090,40.0,0.2455
1090,50.0,0.2285
1090,60.0,0.2017
1090,100.0,0.1693
1090,140.0,0.1538
1090,180.0,0.1463
1090,240.0,0.137
1090,320.0,0.1282
1090,400.0,0.1234
1090,15000.0,0.045
1091,0.0,0.3053
1091,4.0,0.29
1091,10.0,0.281
1091,20.0,0.2655
1091,30.0,0.2489
1091,40.0,0.2324
1091,50.0,0.2214
1091,60.0,0.2123
1091,100.0,0.1947
1091,140.0,0.184
1091,180.0,0.1795
1091,240.0,0.1734
1091,320.0,0.1662
1091,400.0,0.1632
1091,15000.0,0.0966
1092,0.0,0.3658
1092,4.0,0.3456
1092,10.0,0.3407
1092,20.0,0.3377
1092,30.0,0.3347
1092,40.0,0.3303
1092,50.0,0.3266
1092,60.0,0.3233
1092,100.0,0.3149
1092,140.0,0.3088
1092,180.0,0.3045
1092,240.0,0.2989
1092,320.0,0.2924
1092,400.0,0.289
1092,15000.0,0.2059
1100,0.0,0.291
1100,10.0,0.3069
1100,20.0,0.2695
1100,40.0,0.1566
1100,60.0,0.1317
1100,80.0,0.1171
1100,150.0,0.0987
1100,500.0,0.0875
1100,1000.0,0.081
1101,0.0,0.2445
1101,10.0,0.2223
1101,20.0,0.1798
1101,40.0,0.1747
1101,60.0,0.1506
1101,80.0,0.1385
1101,150.0,0.1246
1101,500.0,0.1147
1101,1000.0,0.1014
1102,0.0,0.347
1102,10.0,0.2996
1102,20.0,0.2668
1102,40.0,0.2593
1102,60.0,0.2384
1102,80.0,0.2255
1102,150.0,0.2008
1102,500.0,0.1838
1102,1000.0,0.1732
1103,0.0,0.409
1103,10.0,0.3816
1103,20.0,0.3374
1103,40.0,0.3123
1103,60.0,0.2983
1103,80.0,0.2897
1103,150.0,0.2647
1103,500.0,0.2518
1103,1000.0,0.2418
1104,0.0,0.3834
1104,10.0,0.3603
1104,20.0,0.327
1104,40.0,0.3243
1104,60.0,0.3132
1104,80.0,0.3045
1104,150.0,0.2833
1104,500.0,0.2607
1104,1000.0,0.2478
1110,0.0,0.3351
1110,10.0,0.2955
1110,20.0,0.2865
1110,30.0,0.2862
1110,40.0,0.2564
1110,60.0,0.1722
1110,90.0,0.1387
1110,180.0,0.1161
1110,405.0,0.0984
1110,810.0,0.0896
1110,1630.0,0.0849
1111,0.0,0.2996
1111,10.0,0.2512
1111,20.0,0.2298
1111,30.0,0.2166
1111,40.0,0.2005
1111,60.0,0.1565
1111,90.0,0.1357
1111,180.0,0.1132
1111,405.0,0.0946
1111,810.0,0.0826
1111,1630.0,0.0707
1112,0.0,0.3959
1112,10.0,0.3043
1112,20.0,0.2886
1112,30.0,0.2833
1112,40.0,0.3102
1112,60.0,0.2577
1112,90.0,0.244
1112,180.0,0.2237
1112,405.0,0.204
1112,810.0,0.1903
1112,1630.0,0.1773
1113,0.0,0.4449
1113,10.0,0.3613
1113,20.0,0.3536
1113,30.0,0.3473
1113,40.0,0.3366
1113,60.0,0.3252
1113,90.0,0.3129
1113,180.0,0.2942
1113,405.0,0.2721
1113,810.0,0.2568
1113,1630.0,0.2411
1114,0.0,0.4356
1114,10.0,0.3839
1114,20.0,0.2789
1114,30.0,0.2742
1114,40.0,0.3305
1114,60.0,0.3583
1114,90.0,0.3476
1114,180.0,0.329
1114,405.0,0.3059
1114,810.0,0.2888
1114,1630.0,0.2778
1115,0.0,0.4477
1115,10.0,0.384
1115,20.0,0.383
1115,30.0,0.3803
1115,40.0,0.3749
1115,60.0,0.3693
1115,90.0,0.3613
1115,180.0,0.347
1115,405.0,0.3283
1115,810.0,0.3109
1115,1630.0,0.2969
1116,0.0,0.4003
1116,10.0,0.3402
1116,20.0,0.3439
1116,30.0,0.3432
1116,40.0,0.3426
1116,60.0,0.3379
1116,90.0,0.3325
1116,180.0,0.3212
1116,405.0,0.3033
1116,810.0,0.2843
1116,1630.0,0.2659
1117,0.0,0.3785
1117,10.0,0.3173
1117,20.0,0.3199
1117,30.0,0.3193
1117,40.0,0.3179
1117,60.0,0.313
1117,90.0,0.308
1117,180.0,0.2973
1117,405.0,0.2789
1117,810.0,0.2608
1117,1630.0,0.2405
1120,0.0,0.293
1120,10.0,0.2828
1120,20.0,0.2802
1120,40.0,0.274
1120,80.0,0.2278
1120,150.0,0.1859
1120,500.0,0.1296
1120,1000.0,0.0956
1120,2000.0,0.0872
1120,10000.0,0.0869
1121,0.0,0.3434
1121,10.0,0.3273
1121,20.0,0.3245
1121,40.0,0.3133
1121,80.0,0.2948
1121,150.0,0.2789
1121,500.0,0.2474
1121,1000.0,0.2215
1121,10000.0,0.0869
1122,0.0,0.3674
1122,10.0,0.3557
1122,20.0,0.3457
1122,40.0,0.3529
1122,80.0,0.3479
1122,150.0,0.3398
1122,500.0,0.3258
1122,1000.0,0.308
1122,2000.0,0.3011
1122,10000.0,0.2766
1123,0.0,0.3666
1123,10.0,0.3568
1123,20.0,0.3553
1123,40.0,0.3528
1123,80.0,0.3488
1123,150.0,0.344
1123,500.0,0.334
1123,1000.0,0.3176
1123,2000.0,0.3074
1123,10000.0,0.2798
