code,theta,diffusivity
3130,0.149,4.32
3130,0.148,4.08
3130,0.141,2.04
3130,0.138,1.584
3130,0.136,1.416
3130,0.135,1.368
3131,0.241,3120.0
3131,0.204,1080.0
3131,0.189,648.0
3131,0.179,480.0
3131,0.173,384.0
3131,0.168,312.0
3131,0.164,264.0
3131,0.161,232.8
3131,0.158,206.4
3131,0.156,184.8
3131,0.153,170.4
3131,0.152,156.0
3131,0.15,144.0
3131,0.148,134.4
3131,0.147,124.8
3131,0.145,117.6
3131,0.144,110.4
3131,0.143,105.6
3131,0.142,100.8
3131,0.141,96.0
3131,0.14,91.2
3131,0.139,86.4
3131,0.138,84.0
3131,0.138,79.2
3131,0.137,76.8
3131,0.136,74.4
3131,0.135,72.0
3131,0.135,69.6
3131,0.134,67.2
3131,0.134,64.8
3131,0.133,62.4
3131,0.132,60.0
3131,0.132,60.0
3131,0.131,57.6
3131,0.131,55.2
3131,0.13,55.2
3131,0.13,52.8
3131,0.129,52.8
3131,0.129,50.4
3131,0.129,50.4
3132,,
3133,0.191,1608.0
3133,0.162,1104.0
3133,0.144,840.0
3133,0.132,672.0
3133,0.123,576.0
3133,0.116,480.0
3133,0.11,432.0
3133,0.105,384.0
3133,0.101,336.0
3133,0.097,312.0
3133,0.094,288.0
3133,0.091,264.0
3133,0.088,240.0
3133,0.086,235.2
3133,0.084,220.8
3133,0.082,208.8
3133,0.081,196.8
3133,0.079,187.2
3133,0.078,177.6
3133,0.076,170.4
3133,0.075,163.2
3133,0.074,156.0
3133,0.073,148.8
3133,0.072,144.0
3133,0.071,139.2
3133,0.07,134.4
3133,0.069,129.6
3133,0.068,124.8
3133,0.067,120.0
3133,0.067,117.6
3133,0.066,112.8
3133,0.065,110.4
3133,0.064,108.0
3133,0.064,103.2
3134,0.118,45.6
3134,0.102,26.4
3134,0.094,18.48
3134,0.09,14.4
3134,0.087,12.0
3134,0.085,10.32
3134,0.083,9.36
3140,,
3141,,
3142,0.162,264.0
3142,0.158,240.0
3142,0.155,216.0
3142,0.153,196.8
3142,0.15,182.4
3142,0.148,168.0
3142,0.146,156.0
3142,0.145,146.4
3142,0.143,136.8
3142,0.141,129.6
3142,0.14,122.4
3142,0.139,117.6
3142,0.138,110.4
3142,0.137,105.6
3142,0.136,100.8
3142,0.135,98.4
3142,0.134,93.6
3142,0.133,91.2
3142,0.132,86.4
3142,0.131,84.0
3142,0.13,81.6
3142,0.13,79.2
3142,0.129,76.8
3142,0.128,74.4
3142,0.127,72.0
3142,0.127,69.6
3142,0.126,67.2
3142,0.126,67.2
3142,0.125,64.8
3142,0.125,62.4
3142,0.124,62.4
3142,0.124,60.0
3142,0.123,57.6
3142,0.111,31.2
3142,0.1,16.8
3142,0.095,12.0
3142,0.092,9.36
3142,0.089,7.92
3142,0.087,6.96
3142,0.086,6.0
3142,0.085,5.52
3142,0.083,5.04
3142,0.082,4.8
3142,0.082,4.32
3142,0.081,4.08
3142,0.08,3.84
3142,0.074,2.4
3143,,
3144,0.109,19.68
3144,0.101,15.84
3144,0.095,13.2
3144,0.091,11.52
3144,0.088,10.08
3144,0.086,9.12
3144,0.084,8.16
3144,0.082,7.44
3144,0.081,6.96
3144,0.08,6.48
3144,0.079,6.0
3144,0.071,3.12
3144,0.069,2.4
3144,0.067,2.208
3150,,
3151,,
3152,0.228,888.0
3152,0.214,672.0
3152,0.204,552.0
3152,0.196,456.0
3152,0.19,384.0
3152,0.185,336.0
3152,0.18,312.0
3152,0.177,288.0
3152,0.174,264.0
3152,0.171,235.2
3152,0.168,218.4
3152,0.166,201.6
3152,0.164,189.6
3152,0.162,177.6
3152,0.16,168.0
3152,0.159,158.4
3152,0.157,151.2
