code,theta,conductivity
1010,,
1011,,
1012,,
1013,,
1014,,
1015,,
1020,,
1021,,
1022,,
1023,,
1024,,
1030,,
1031,,
1032,,
1040,,
1041,,
1042,,
1043,,
1050,,
1051,,
1052,,
1053,,
1054,,
1060,,
1061,,
1062,,
1063,,
1070,,
1071,,
1072,,
1073,,
1074,,
1075,,
1080,0.321,6.216
1080,0.32,3.816
1080,0.285,6.792
1080,0.284,5.376
1080,0.237,5.832
1080,0.223,4.032
1080,0.202,0.8808
1080,0.201,2.296
1080,0.183,0.7896
1080,0.181,1.068
1080,0.168,0.5448
1080,0.163,0.468
1080,0.156,0.3432
1080,0.153,0.1848
1080,0.145,0.159
1080,0.139,0.0348
1080,0.133,0.05088
1081,0.263,3.864
1081,0.227,0.996
1081,0.198,1.697
1081,0.166,0.1369
1081,0.155,0.162
1081,0.153,0.04152
1081,0.148,0.08304
1081,0.143,0.036
1081,0.14,0.05688
1081,0.131,0.03384
1081,0.13,0.01385
1081,0.118,0.00324
1081,0.117,0.01018
1082,0.269,7.032
1082,0.254,2.287
1082,0.225,4.152
1082,0.205,0.4968
1082,0.193,0.7032
1082,0.181,0.1687
1082,0.173,0.6
1082,0.168,0.4512
1082,0.155,0.1399
1082,0.153,0.1759
1082,0.145,0.0408
1082,0.139,0.054
1082,0.131,0.02688
1082,0.129,0.01073
1083,0.279,11.66
1083,0.269,4.8
1083,0.23,7.152
1083,0.22,3.216
1083,0.195,1.884
1083,0.191,1.114
1083,0.176,1.656
1083,0.173,1.08
1083,0.158,0.552
1083,0.157,0.2712
1083,0.146,0.1978
1083,0.144,0.2026
1083,0.135,0.2664
1083,0.134,0.1632
1084,0.287,19.39
1084,0.279,9.624
1084,0.233,11.14
1084,0.22,7.368
1084,0.196,4.056
1084,0.19,2.544
1084,0.176,2.369
1084,0.173,1.099
1084,0.16,0.48
1084,0.154,0.336
1084,0.146,0.2266
1084,0.139,0.2134
1084,0.131,0.2381
1084,0.13,0.5088
1085,0.291,27.12
1085,0.289,13.01
1085,0.246,15.65
1085,0.234,10.63
1085,0.209,3.264
1085,0.199,2.64
1085,0.179,1.133
1085,0.175,1.14
1085,0.155,0.3072
1085,0.154,0.4704
1085,0.138,0.1595
1085,0.124,0.09744
1085,0.123,0.08016
1086,0.3,29.28
1086,0.286,12.58
1086,0.256,19.1
1086,0.239,6.552
1086,0.21,4.656
1086,0.203,3.504
1086,0.175,3.84
1086,0.174,2.304
1086,0.153,0.4152
1086,0.149,0.444
1086,0.138,0.1217
1086,0.131,0.125
1086,0.12,0.03984
1086,0.116,0.04632
1087,0.305,31.92
1087,0.291,5.04
1087,0.267,7.752
1087,0.249,4.968
1087,0.219,2.496
1087,0.21,1.632
1087,0.179,1.117
1087,0.154,0.221
1087,0.149,0.1622
1087,0.134,0.05568
1087,0.129,0.07752
1087,0.116,0.03072
1087,0.114,0.04272
1090,,
1091,,
1092,,
1100,,
1101,,
1102,,
1103,,
1104,,
1110,,
1111,,
1112,,
1113,,
1114,,
1115,,
1116,,
1117,,
1120,,
1121,,
1122,,
1123,,
1130,,
1131,,
1132,,
1133,,
1134,,
1135,,
1140,,
1141,,
1142,,
1143,,
1150,,
1151,,
1152,,
1160,,
1161,,
1162,,
1163,,
1164,,
1165,,
1166,,
1170,,
1171,,
1172,,
1173,,
1174,,
1180,,
1181,,
1182,,
1183,,
1184,,
1190,,
1191,,
1192,,
1193,,
1194,,
1200,,
1201,,
1202,,
1203,,
1204,,
1210,,
1211,,
1212,,
1213,,
1220,,
1221,,
1222,,
1223,,
1224,,
1225,,
1230,,
1231,,
1232,,
1233,,
1234,,
1235,,
1236,,
1237,,
1240,0.435,745.9
1240,0.308,202.6
1240,0.25,85.54
1240,0.233,68.17
1240,0.173,8.726
1240,0.14,1.16
1240,0.11,0.1374
1240,0.1,0.09418
1240,0.086,0.00665
1241,0.4,688.2
1241,0.307,219.9
1241,0.227,44.15
1241,0.189,14.69
1241,0.155,3.655
1241,0.145,1.858
1241,0.125,0.4597
1241,0.124,0.4303
1241,0.1,0.0295
1241,0.092,0.00968
1241,0.091,0.00933
1241,0.086,0.00482
1241,0.083,0.00467
1260,,
1261,,
1270,,
1280,0.429,6.25
1280,0.419,5.65
1280,0.407,2.255
1280,0.4,4.01
1280,0.397,4.14
1280,0.394,1.61
1280,0.38,1.54
1280,0.371,1.7
1280,0.37,0.8828
1280,0.368,1.53
1280,0.366,1.03
1280,0.365,0.83
1280,0.349,0.527
1280,0.345,0.532
1280,0.335,0.434
1280,0.332,0.643
1280,0.328,0.0608
1280,0.326,0.938
1280,0.316,0.178
1280,0.303,0.07474
1280,0.302,0.0837
1280,0.299,0.135
1280,0.296,0.0794
1280,0.293,0.109
1280,0.279,0.0468
1280,0.271,0.0214
1280,0.267,0.0353
1280,0.263,0.02035
1280,0.26,0.0255
1280,0.259,0.0362
1280,0.254,0.0215
1280,0.248,0.0067
1280,0.242,0.00687
1280,0.24,0.0112
1280,0.237,0.0112
1280,0.232,0.0122
1280,0.231,0.0103
1280,0.222,0.0058
1280,0.216,0.00584
1280,0.215,0.00508
1280,0.213,0.00461
1281,0.4,5.873
1281,0.396,7.881
1281,0.394,9.71
1281,0.388,6.163
1281,0.382,2.732
1281,0.377,3.08
1281,0.373,2.232
1281,0.37,3.274
1281,0.369,2.854
1281,0.365,1.033
1281,0.359,2.364
1281,0.357,1.978
1281,0.351,0.6968
1281,0.35,1.665
1281,0.348,1.064
1281,0.345,1.67
