code,preshead,theta
1010,,
1011,,
1012,,
1013,,
1014,,
1015,,
1020,,
1021,,
1022,,
1023,,
1024,,
1030,,
1031,,
1032,,
1040,,
1041,,
1042,,
1043,,
1050,,
1051,,
1052,,
1053,,
1054,,
1060,,
1061,,
1062,,
1063,,
1070,,
1071,,
1072,,
1073,,
1074,,
1075,,
1080,,
1081,,
1082,,
1083,,
1084,,
1085,,
1086,,
1087,,
1090,,
1091,,
1092,,
1100,,
1101,,
1102,,
1103,,
1104,,
1110,,
1111,,
1112,,
1113,,
1114,,
1115,,
1116,,
1117,,
1120,,
1121,,
1122,,
1123,,
1130,,
1131,,
1132,,
1133,,
1134,,
1135,,
1140,,
1141,,
1142,,
1143,,
1150,,
1151,,
1152,,
1160,,
1161,,
1162,,
1163,,
1164,,
1165,,
1166,,
1170,,
1171,,
1172,,
1173,,
1174,,
1180,,
1181,,
1182,,
1183,,
1184,,
1190,,
1191,,
1192,,
1193,,
1194,,
1200,,
1201,,
1202,,
1203,,
1204,,
1210,,
1211,,
1212,,
1213,,
1220,,
1221,,
1222,,
1223,,
1224,,
1225,,
1230,,
1231,,
1232,,
1233,,
1234,,
1235,,
1236,,
1237,,
1240,,
1241,,
1260,,
1261,,
1270,100.0,0.169
1270,250.0,0.162
1270,500.0,0.15
1270,1000.0,0.116
1280,,
1281,,
1282,,
1290,,
1300,50.0,0.29
1300,35.0,0.327
1300,27.0,0.327
1300,25.0,0.333
1300,18.0,0.342
1300,17.0,0.355
1300,14.0,0.358
1300,12.0,0.371
1300,8.0,0.354
1301,97.0,0.288
1301,53.0,0.289
1301,39.0,0.294
1301,36.0,0.31
1301,33.0,0.32
1301,26.0,0.289
1301,23.0,0.324
1301,22.0,0.335
1301,19.0,0.304
1301,18.0,0.31
1301,17.0,0.338
1301,13.0,0.334
1301,10.0,0.35
1301,6.0,0.356
1301,5.0,0.362
1301,4.0,0.413
1310,113.0,0.043
1310,38.0,0.133
1310,37.0,0.069
1310,31.0,0.086
1310,28.0,0.098
1310,27.0,0.103
1310,25.0,0.125
1310,24.0,0.101
1310,23.0,0.122
1310,22.0,0.1525
1310,18.0,0.2
1320,,
1330,,
1331,,
1340,,
1341,,
1342,,
1350,,
1351,,
1352,,
1360,,
1361,,
1362,,
1370,,
1371,,
1372,,
1380,,
1381,,
1382,,
1383,,
1390,,
1391,,
1392,,
1400,,
1410,1.0,0.359
1410,5.0,0.3566
1410,9.0,0.3521
1410,12.0,0.3305
1410,13.0,0.2866
1410,14.0,0.2855
1410,15.0,0.248
1410,16.0,0.2033
1410,17.0,0.1843
1410,19.0,0.15
1410,23.0,0.1146
1410,24.0,0.1019
1410,25.0,0.0985
1410,32.0,0.0733
1410,37.0,0.0728
1410,41.0,0.0642
1410,43.0,0.0566
1420,,
1430,25.0,0.275
1430,50.0,0.233
1430,75.0,0.2
1430,125.0,0.152
1430,150.0,0.135
1430,15000.0,0.027
1440,15.0,0.302
1440,40.0,0.282
1440,100.0,0.264
1440,150.0,0.257
1440,200.0,0.252
1440,250.0,0.248
1440,300.0,0.245
1440,15000.0,0.134
1450,15.0,0.279
1450,100.0,0.255
1450,150.0,0.251
1450,250.0,0.248
1450,600.0,0.22
1450,15000.0,0.107
1460,,
1461,,
1462,,
1463,,
1464,,
1465,,
1466,,
1467,,
1480,,
1481,,
1482,,
1490,,
2000,,
2001,,
2002,,
2010,,
2011,,
2012,,
2020,0.0,0.7107
2020,10.0,0.6501
2020,20.0,0.6221
2020,40.0,0.5964
2020,80.0,0.5739
2020,120.0,0.5636
2020,160.0,0.555
2020,200.0,0.5543
2021,0.0,0.65
2021,10.0,0.6447
2021,20.0,0.6217
2021,40.0,0.6055
2021,80.0,0.5861
2021,120.0,0.5835
2021,160.0,0.5815
2021,200.0,0.5808
2022,0.0,0.7108
2022,10.0,0.6379
2022,20.0,0.6104
2022,40.0,0.5918
2022,80.0,0.5763
2022,120.0,0.5684
2022,160.0,0.5654
2022,200.0,0.5636
2030,,
2031,,
2032,,
2040,,
2041,,
2050,,
2051,,
2060,,
2061,,
2070,,
2071,,
2080,,
2081,,
2090,,
2091,,
2092,,
2100,,
2101,,
2102,,
2103,,
2104,,
2105,,
2110,,
2111,,
2120,,
2121,,
2122,,
2123,,
2124,,
2125,,
2126,,
2130,,
2131,,
2132,,
2140,63.0,0.372
2140,33.0,0.376
2140,3.0,0.401
2141,4.0,0.4
2141,30.0,0.3255
2141,40.0,0.2375
2141,45.0,0.194
2141,50.0,0.1854
2141,55.0,0.149
2141,60.0,0.143
2141,65.0,0.126
2141,70.0,0.108
2141,100.0,0.0824
2141,140.0,0.0704
2141,1000.0,0.05
2150,63.0,0.248
2150,33.0,0.28
2150,3.0,0.391
2151,63.0,0.102
2151,33.0,0.185
2151,3.0,0.291
2160,,
2161,,
2170,,
2171,,
2180,,
2181,,
2190,,
2191,,
2192,,
2193,,
2194,,
2195,,
2196,,
2197,,
2198,,
2200,,
2201,,
2202,,
2203,,
2210,,
2211,,
2212,,
2213,,
2214,,
2215,,
2216,,
2217,,
2220,,
2221,,
2230,,
2231,,
2232,,
2240,,
2241,,
2242,,
2243,,
2250,,
2251,,
2252,,
2253,,
2260,,
2261,,
2262,,
2270,,
2271,,
2272,,
2273,,
2280,,
2281,,
2282,,
2283,,
2290,,
2291,,
2292,,
2293,,
2300,,
2301,,
2302,,
2303,,
2304,,
2305,,
2306,,
2307,,
2310,64.0,0.05
2310,63.0,0.049
2310,52.0,0.052
