code,theta,conductivity
1010,,
1011,,
1012,,
1013,,
1014,,
1015,,
1020,,
1021,,
1022,,
1023,,
1024,,
1030,,
1031,,
1032,,
1040,,
1041,,
1042,,
1043,,
1050,,
1051,,
1052,,
1053,,
1054,,
1060,,
1061,,
1062,,
1063,,
1070,,
1071,,
1072,,
1073,,
1074,,
1075,,
1080,,
1081,,
1082,,
1083,,
1084,,
1085,,
1086,,
1087,,
1090,,
1091,,
1092,,
1100,,
1101,,
1102,,
1103,,
1104,,
1110,,
1111,,
1112,,
1113,,
1114,,
1115,,
1116,,
1117,,
1120,,
1121,,
1122,,
1123,,
1130,,
1131,,
1132,,
1133,,
1134,,
1135,,
1140,,
1141,,
1142,,
1143,,
1150,,
1151,,
1152,,
1160,,
1161,,
1162,,
1163,,
1164,,
1165,,
1166,,
1170,,
1171,,
1172,,
1173,,
1174,,
1180,,
1181,,
1182,,
1183,,
1184,,
1190,,
1191,,
1192,,
1193,,
1194,,
1200,,
1201,,
1202,,
1203,,
1204,,
1210,,
1211,,
1212,,
1213,,
1220,,
1221,,
1222,,
1223,,
1224,,
1225,,
1230,,
1231,,
1232,,
1233,,
1234,,
1235,,
1236,,
1237,,
1240,,
1241,,
1260,,
1261,,
1270,,
1280,,
1281,,
1282,,
1290,,
1300,0.38,16.8
1300,0.37,13.44
1300,0.35,4.8
1300,0.345,2.16
1301,0.38,16.32
1301,0.37,12.24
1301,0.36,6.24
1301,0.34,1.608
1301,0.32,0.552
1301,0.315,0.1968
1310,0.165,10.8
1310,0.145,5.04
1310,0.12,1.824
1310,0.11,1.104
1310,0.1,0.456
1310,0.095,0.2232
1310,0.085,0.1728
1320,,
1330,,
1331,,
1340,,
1341,,
1342,,
1350,,
1351,,
1352,,
1360,,
1361,,
1362,,
1370,,
1371,,
1372,,
1380,,
1381,,
1382,,
1383,,
1390,,
1391,,
1392,,
1400,,
1410,0.211,233.0
1410,0.221,276.0
1410,0.227,415.0
1410,0.228,363.0
1410,0.235,423.0
1410,0.236,302.0
1410,0.238,432.0
1410,0.24,458.0
1410,0.259,734.0
1410,0.262,406.0
1410,0.266,397.0
1410,0.27,354.0
1410,0.367,2850.0
1410,0.399,2850.0
1410,0.431,3800.0
1410,0.437,4670.0
1420,,
1430,0.275,9.63
1430,0.233,2.91
1430,0.2,1.53
1430,0.152,0.183
1430,0.135,0.0276
1440,0.302,0.02
1440,0.282,0.013
1440,0.264,0.0023
1440,0.257,0.0012
1440,0.252,0.00052
1440,0.248,0.0004
1440,0.245,2e-05
1450,,
1460,,
1461,,
1462,,
1463,,
1464,,
1465,,
1466,,
1467,,
1480,,
1481,,
1482,,
1490,,
2000,,
2001,,
2002,,
2010,,
2011,,
2012,,
2020,,
2021,,
2022,,
2030,,
2031,,
2032,,
2040,,
2041,,
2050,,
2051,,
2060,,
2061,,
2070,,
2071,,
2080,,
2081,,
2090,,
2091,,
2092,,
2100,,
2101,,
2102,,
2103,,
2104,,
2105,,
2110,,
2111,,
2120,,
2121,,
2122,,
2123,,
2124,,
2125,,
2126,,
2130,,
2131,,
2132,,
2140,,
2141,0.4,173.0
2141,0.382,168.0
2141,0.369,138.0
2141,0.344,73.4
2141,0.338,104.0
2141,0.33,69.1
2141,0.323,73.4
2141,0.318,56.2
2141,0.312,53.6
2141,0.308,70.8
2141,0.291,51.8
2141,0.287,43.2
2141,0.285,47.5
2141,0.281,38.0
2141,0.275,30.2
2141,0.267,38.9
2141,0.265,32.8
2141,0.264,26.8
2141,0.258,39.7
2141,0.253,27.6
2141,0.251,20.7
2141,0.239,19.0
2141,0.236,12.1
2141,0.234,9.07
2141,0.228,14.7
2141,0.224,10.72
2141,0.222,7.26
2141,0.215,9.5
2141,0.214,7.34
2141,0.21,8.232
2141,0.208,8.64
2141,0.204,5.88
2141,0.203,4.289
2141,0.194,3.72
2141,0.186,2.94
2141,0.179,2.25
2141,0.178,1.47
2141,0.175,0.57
2141,0.169,1.81
2141,0.164,0.32
2141,0.148,0.058
2141,0.109,0.0033
2141,0.089,0.00095
2150,0.428,181.0
2150,0.42,220.2
2150,0.405,190.0
2150,0.369,217.0
2150,0.365,125.0
2150,0.36,56.51
2150,0.32,119.9
2150,0.305,16.49
2150,0.298,14.19
2150,0.264,1.927
2150,0.262,6.404
2150,0.245,1.68
2150,0.24,5.008
2150,0.232,1.037
2150,0.23,1.05
2150,0.207,0.393
2150,0.2,0.156
2151,0.305,90.7
2151,0.303,82.1
2151,0.3,181.0
2151,0.292,173.0
2151,0.291,99.4
2151,0.29,259.0
2151,0.23,43.2
2151,0.225,60.5
2151,0.185,15.4
2151,0.175,10.4
2151,0.115,14.2
2151,0.102,1.137
2151,0.076,0.253
2151,0.075,0.32
2160,,
2161,,
2170,,
2171,,
2180,,
2181,,
2190,,
2191,,
2192,,
2193,,
2194,,
2195,,
2196,,
2197,,
2198,,
2200,,
2201,,
2202,,
2203,,
2210,,
2211,,
2212,,
2213,,
2214,,
2215,,
2216,,
2217,,
2220,,
2221,,
2230,,
2231,,
2232,,
2240,,
2241,,
2242,,
2243,,
2250,,
2251,,
2252,,
2253,,
2260,,
2261,,
2262,,
2270,,
2271,,
2272,,
2273,,
2280,,
2281,,
2282,,
2283,,
2290,,
2291,,
2292,,
2293,,
2300,,
2301,,
2302,,
2303,,
2304,,
2305,,
2306,,
2307,,
2310,0.137,14.0
2310,0.186,94.2
2310,0.234,220.0
2310,0.263,407.0
2310,0.292,680.0
2320,,
2321,,
