code,comment_general_ID,comment_soilprop_ID,comment_fwr_ID,comment_lwr_ID,comment_fhc_ID,comment_lhc_ID,comment_fsc_ID,comment_lsc_ID,comment_field_ID,comment_lab_ID
1010,1,1,1,1,1,999,999,1,1,1
1011,1,1,1,1,1,999,999,1,1,1
1012,1,1,1,1,1,999,999,1,1,1
1013,1,1,1,1,1,999,999,1,1,1
1014,1,1,1,1,1,999,999,1,1,1
1015,1,1,1,1,1,999,999,1,1,1
1020,999,2,999,2,1,999,999,999,2,2
1021,999,2,999,2,1,999,999,999,2,2
1022,999,2,999,2,1,999,999,999,2,2
1023,999,2,999,2,1,999,999,999,2,2
1024,999,2,999,2,1,999,999,999,2,2
1030,3,999,999,3,1,999,999,999,3,3
1031,3,999,999,3,1,999,999,999,3,3
1032,3,999,999,3,1,999,999,999,3,3
1040,4,999,999,3,1,999,999,1,3,3
1041,4,999,999,3,1,999,999,1,3,3
1042,4,999,999,3,1,999,999,1,3,3
1043,4,999,999,3,1,999,999,1,3,3
1050,999,999,999,4,1,999,999,1,4,4
1051,999,999,999,4,1,999,999,1,4,4
1052,999,999,999,4,1,999,999,1,4,4
1053,999,999,999,4,1,999,999,1,4,4
1054,999,999,999,4,1,999,999,1,4,4
1060,999,999,999,4,1,999,999,1,4,4
1061,999,999,999,4,1,999,999,1,4,4
1062,999,999,999,4,1,999,999,1,4,4
1063,999,999,999,4,1,999,999,1,4,4
1070,999,999,999,4,1,999,999,1,4,4
1071,999,999,999,4,1,999,999,1,4,4
1072,999,999,999,4,1,999,999,1,4,4
1073,999,999,999,4,1,999,999,1,4,4
1074,999,999,999,4,1,999,999,1,4,4
1075,999,999,999,4,1,999,999,1,4,4
1080,5,4,999,5,999,2,999,999,999,5
1081,6,4,999,5,999,2,999,999,999,5
1082,7,4,999,5,999,2,999,999,999,5
1083,8,4,999,5,999,2,999,999,999,5
1084,9,4,999,5,999,2,999,999,999,5
1085,10,4,999,5,999,2,999,999,999,5
1086,11,4,999,5,999,2,999,999,999,5
1087,12,4,999,5,999,2,999,999,999,5
1090,13,5,999,4,1,999,999,1,6,6
1091,13,5,999,4,1,999,999,1,6,6
1092,13,5,999,4,1,999,999,1,6,6
1100,14,6,999,2,1,999,999,999,7,7
1101,14,6,999,2,1,999,999,999,7,7
1102,14,6,999,2,1,999,999,999,7,7
1103,14,6,999,2,1,999,999,999,7,7
1104,14,6,999,2,1,999,999,999,7,7
1110,15,7,999,2,1,999,999,999,7,7
1111,15,7,999,2,1,999,999,999,7,7
1112,15,7,999,2,1,999,999,999,7,7
1113,15,7,999,2,1,999,999,999,7,7
1114,15,7,999,2,1,999,999,999,7,7
1115,15,7,999,2,1,999,999,999,7,7
1116,15,7,999,2,1,999,999,999,7,7
1117,15,7,999,2,1,999,999,999,7,7
1120,16,999,1,3,1,999,999,1,1,8
1121,16,999,1,3,1,999,999,1,1,8
1122,16,999,1,3,1,999,999,1,1,8
1123,16,999,1,3,1,999,999,1,1,8
1130,999,8,1,3,1,999,999,3,8,9
1131,999,9,1,3,1,999,999,3,8,9
1132,999,8,1,3,1,999,999,3,8,9
1133,999,8,1,3,1,999,999,3,8,9
1134,999,8,1,3,1,999,999,3,8,9
1135,999,8,1,3,1,999,999,3,8,9
1140,17,10,999,4,1,999,999,1,6,6
1141,17,10,999,4,1,999,999,1,6,6
1142,17,10,999,4,1,999,999,1,6,6
1143,17,10,999,4,1,999,999,1,6,6
1150,18,999,3,999,3,999,999,999,999,999
1151,18,999,3,999,3,999,999,999,9,10
1152,18,999,3,999,3,999,999,999,9,10
1160,19,11,999,2,1,999,999,1,9,10
1161,19,11,999,2,1,999,999,1,9,10
1162,19,11,999,2,1,999,999,1,9,10
1163,19,11,999,2,1,999,999,1,9,10
1164,19,11,999,2,1,999,999,1,9,10
1165,19,11,999,2,1,999,999,1,9,10
1166,19,11,999,2,1,999,999,1,9,10
1170,20,999,999,2,1,999,999,999,10,11
1171,20,999,999,2,1,999,999,999,10,11
1172,20,999,999,2,1,999,999,999,10,11
1173,20,999,999,2,1,999,999,999,10,11
1174,20,999,999,2,1,999,999,999,10,11
1180,21,999,1,3,1,999,999,1,11,1
1181,21,999,1,3,1,999,999,1,11,1
1182,21,999,1,3,1,999,999,1,11,1
1183,21,999,1,3,1,999,999,1,11,1
1184,21,999,1,3,1,999,999,1,11,1
1190,22,12,1,7,1,999,999,999,12,12
1191,22,12,1,7,1,999,999,999,12,12
1192,22,12,1,7,1,999,999,999,12,12
1193,22,12,1,7,1,999,999,999,12,12
1194,22,12,1,7,1,999,999,999,12,12
1200,23,12,1,8,1,999,999,999,13,13
1201,23,12,1,8,1,999,999,999,13,13
1202,23,12,1,8,1,999,999,999,13,13
1203,23,12,1,8,1,999,999,999,13,13
1204,23,12,1,8,1,999,999,999,13,13
1210,24,12,1,7,1,999,999,999,14,12
1211,24,12,1,7,1,999,999,999,14,12
1212,24,12,1,7,1,999,999,999,14,12
1213,24,12,1,7,1,999,999,999,14,12
1220,25,999,1,9,1,999,999,999,15,14
1221,25,999,1,9,1,999,999,999,15,14
1222,25,999,1,9,1,999,999,999,15,14
1223,25,999,1,9,1,999,999,999,15,14
1224,25,999,1,9,1,999,999,999,15,14
1225,26,999,1,9,1,999,999,999,15,14
1230,27,999,1,9,1,999,999,999,16,15
1231,28,999,1,9,1,999,999,999,16,15
1232,29,999,1,9,1,999,999,999,16,15
1233,29,999,1,9,1,999,999,999,16,15
1234,29,999,1,9,1,999,999,999,16,15
1235,29,999,1,9,1,999,999,999,16,15
1236,29,999,1,9,1,999,999,999,16,15
1237,29,999,1,9,1,999,999,999,16,15
1240,999,13,1,10,1,3,2,4,17,16
1241,999,13,1,10,1,3,2,4,17,16
1260,30,13,1,10,1,3,2,4,18,999
1261,30,13,1,10,1,3,2,4,19,999
1270,31,14,999,11,999,4,3,1,20,18
1280,32,15,999,2,999,5,999,1,999,19
1281,32,16,999,2,999,5,999,1,999,19
1282,33,15,999,2,999,5,999,1,999,19
1290,34,17,1,12,1,5,999,1,21,20
1300,999,18,999,13,999,2,999,5,999,21
1301,999,18,999,13,999,2,999,5,999,21
1310,999,18,999,13,999,2,999,5,999,21
1320,35,19,999,12,999,5,999,999,999,20
1330,36,20,1,12,1,5,999,1,21,20
1331,36,20,1,12,1,5,999,1,21,20
1340,37,21,999,2,999,6,999,999,999,22
1341,38,21,999,2,999,6,999,999,999,22
1342,38,21,999,2,999,6,999,999,999,22
1350,39,21,999,2,999,6,999,999,999,22
1351,40,21,999,2,999,6,999,999,999,22
1352,40,21,999,2,999,6,999,999,999,22
1360,41,22,999,2,999,5,999,1,22,23
1361,42,23,999,2,999,5,999,1,22,23
1362,43,24,999,2,999,5,999,1,22,23
1370,44,25,999,2,999,5,999,1,999,23
1371,44,26,999,2,999,5,999,1,22,23
1372,44,25,999,2,999,5,999,1,22,23
1380,45,27,999,2,999,5,999,1,22,23
1381,45,28,999,2,999,5,999,1,999,23
1382,45,29,999,2,999,5,999,1,999,23
1383,45,30,999,2,999,5,999,1,999,23
1390,46,31,999,2,999,5,999,1,999,23
1391,47,32,999,2,999,5,999,1,999,23
1392,48,33,999,2,999,5,999,1,999,23
1400,49,34,999,2,999,5,999,1,999,23
1410,50,35,999,5,999,7,999,6,22,24
1420,51,36,999,14,999,8,999,999,22,25
1430,999,999,999,15,999,9,999,999,999,26
1440,999,999,999,15,999,9,999,999,999,27
1450,999,37,999,15,999,9,999,999,999,28
1460,52,999,999,5,999,2,999,999,22,29
1461,52,999,999,5,999,2,999,999,22,29
1462,52,999,999,5,999,2,999,999,22,29
1463,52,999,999,5,999,2,999,999,22,29
1464,52,999,999,5,999,2,999,999,22,29
1465,52,999,999,5,999,2,999,999,22,29
1466,52,999,999,5,999,2,999,999,22,29
1467,52,999,999,5,999,2,999,999,22,29
1480,53,999,999,14,999,7,999,1,999,30
1481,54,999,999,14,999,7,999,1,999,30
1482,55,999,999,14,999,7,999,1,999,30
1490,56,38,999,2,999,5,999,1,999,23
2000,57,39,999,2,999,6,999,999,999,22
2001,58,39,999,2,999,6,999,999,999,22
2002,58,39,999,2,999,6,999,999,999,22
2010,59,40,999,2,999,6,999,999,999,22
2011,60,39,999,2,999,6,999,999,999,22
2012,60,39,999,2,999,6,999,999,999,22
2020,61,41,999,9,1,999,999,1,23,31
2021,62,42,999,9,1,999,999,1,23,31
2022,63,42,999,9,1,999,999,1,23,31
2030,64,43,999,14,1,999,4,999,24,32
2031,64,43,999,14,1,999,4,999,24,32
2032,64,43,999,14,1,999,4,999,24,32
2040,65,44,999,14,1,999,4,999,24,32
2041,65,45,999,14,1,999,4,999,24,32
2050,66,44,999,14,1,999,4,999,24,32
2051,67,43,999,14,1,999,4,999,24,32
2060,68,46,999,14,1,999,4,999,24,32
2061,68,47,999,14,1,999,4,999,24,32
2070,69,48,999,14,1,999,4,999,24,32
2071,70,49,999,14,1,999,4,999,24,32
2080,71,50,999,14,1,999,4,999,24,32
2081,72,51,999,14,1,999,4,999,24,32
2090,73,52,999,14,1,999,4,999,24,32
2091,74,53,999,14,1,999,4,999,24,32
2092,74,54,999,14,1,999,4,999,24,32
2100,75,55,1,4,1,999,999,1,25,33
2101,75,55,1,4,1,999,999,1,25,33
2102,75,55,1,4,1,999,999,1,25,33
2103,75,55,1,4,1,999,999,1,25,33
2104,75,55,1,4,1,999,999,1,25,33
2105,75,55,1,4,1,999,999,1,25,33
2110,76,999,1,3,1,999,999,1,26,34
2111,76,999,1,3,1,999,999,1,26,34
2120,77,999,1,3,1,999,999,1,27,34
2121,77,999,1,3,1,999,999,1,27,34
2122,77,999,1,3,1,999,999,1,27,34
2123,77,999,1,3,1,999,999,1,27,34
2124,77,999,1,3,1,999,999,1,27,34
2125,77,999,1,3,1,999,999,1,27,34
2126,77,999,1,3,1,999,999,1,27,34
2130,78,999,1,3,1,999,999,1,28,34
2131,78,999,1,3,1,999,999,1,28,34
2132,78,999,1,3,1,999,999,1,28,34
2140,79,56,4,16,4,10,5,1,29,35
2141,79,999,4,16,4,10,5,1,999,36
2150,80,999,4,16,4,10,5,1,29,37
2151,80,57,4,16,4,10,5,1,999,36
2160,81,58,999,4,1,7,999,999,30,38
2161,81,58,999,4,1,7,999,999,30,38
2170,82,59,999,4,1,7,999,999,31,39
2171,82,59,999,4,1,7,999,999,31,39
2180,82,60,999,4,1,7,999,999,31,39
2181,82,60,999,4,1,7,999,999,31,39
2190,83,61,999,17,999,999,999,999,22,40
2191,84,61,999,17,999,999,999,999,22,40
2192,83,61,999,17,999,999,999,999,22,40
2193,85,61,999,17,999,999,999,999,22,40
2194,86,61,999,17,999,999,999,999,22,40
2195,87,61,999,17,999,999,999,999,22,40
2196,88,61,999,17,999,999,999,999,22,40
2197,89,61,999,17,999,999,999,999,22,40
2198,90,61,999,17,999,999,999,999,22,40
2200,91,62,999,18,999,999,999,999,999,41
2201,92,62,999,18,999,999,999,999,999,42
2202,93,62,999,18,999,999,999,999,999,43
2203,94,62,999,18,999,999,999,999,999,44
2210,95,63,999,10,999,11,999,1,999,45
2211,95,63,999,10,999,11,999,1,999,46
2212,95,63,999,10,999,11,999,1,999,46
2213,95,63,999,10,999,11,999,1,999,47
2214,95,63,999,10,999,11,999,1,999,48
2215,95,63,999,10,999,11,999,1,999,48
2216,95,63,999,10,999,11,999,1,999,49
2217,95,63,999,10,999,11,999,1,999,50
2220,999,999,999,18,999,12,999,7,999,51
2221,999,999,999,18,999,12,999,7,999,51
2230,96,64,999,10,999,13,999,999,999,52
2231,96,65,999,10,999,13,999,999,999,52
2232,96,66,999,10,999,13,999,999,999,52
2240,97,67,999,10,999,13,999,6,999,52
2241,97,68,999,10,999,13,999,6,999,52
2242,97,69,999,10,999,13,999,6,999,52
2243,97,70,999,10,999,13,999,6,999,52
2250,98,71,999,10,999,13,999,6,999,52
2251,98,72,999,10,999,13,999,6,999,52
2252,98,73,999,10,999,13,999,6,999,52
2253,98,74,999,10,999,13,999,6,999,52
2260,99,999,999,999,999,13,999,6,999,53
2261,100,75,999,999,999,13,999,6,22,54
2262,101,76,999,999,999,13,999,6,22,55
2270,102,999,999,999,999,13,999,6,999,56
2271,102,999,999,999,999,13,999,6,999,57
2272,102,999,999,999,999,13,999,6,999,54
2273,102,999,999,999,999,13,999,6,999,58
2280,103,999,999,999,999,13,999,6,999,56
2281,103,999,999,999,999,13,999,6,999,57
2282,103,999,999,999,999,13,999,6,999,54
2283,103,999,999,999,999,13,999,6,999,58
2290,104,999,999,999,999,13,999,6,999,59
2291,104,999,999,999,999,13,999,6,999,60
2292,104,75,999,999,999,13,999,6,22,54
2293,104,77,999,999,999,13,999,6,22,61
2300,105,999,999,999,999,13,999,6,999,62
2301,105,999,999,999,999,13,999,6,999,63
2302,104,999,999,999,999,13,999,6,999,59
2303,104,999,999,999,999,13,999,6,999,60
2304,106,999,999,999,999,13,999,6,999,64
2305,106,999,999,999,999,13,999,6,999,65
2306,104,77,999,999,999,13,999,6,999,61
2307,104,75,999,999,999,13,999,6,999,54
2310,107,78,999,5,999,7,999,6,999,66
2320,999,79,999,10,999,5,999,4,22,67
2321,999,79,999,10,999,5,999,4,22,67
2330,999,999,999,10,999,5,999,4,999,67
2331,999,999,999,10,999,5,999,4,999,67
2332,108,999,999,10,999,5,999,4,999,67
2333,108,999,999,10,999,5,999,4,999,67
2334,999,999,999,10,999,5,999,4,999,67
2340,999,80,999,10,999,5,999,4,999,67
2341,999,80,999,10,999,5,999,4,999,67
2342,999,80,999,10,999,5,999,4,999,67
2350,999,999,999,10,999,5,999,4,999,67
2351,999,999,999,10,999,5,999,4,999,67
2360,999,80,999,2,999,13,999,4,999,68
2361,999,999,999,2,999,13,999,4,999,69
2362,999,80,999,2,999,13,999,4,999,69
2370,109,81,1,4,1,999,999,999,32,70
2371,109,81,1,4,1,999,999,999,32,70
2372,109,81,1,4,1,999,999,999,32,70
2373,109,81,1,4,1,999,999,999,32,70
2374,109,81,1,4,1,999,999,999,32,70
2380,110,81,1,4,1,999,999,999,32,70
2381,110,81,1,4,1,999,999,999,32,70
2382,110,81,1,4,1,999,999,999,32,70
2383,110,81,1,4,1,999,999,999,32,70
2384,110,81,1,4,1,999,999,999,32,70
2385,110,81,1,4,1,999,999,999,32,70
2390,111,81,1,4,1,999,999,999,32,70
2391,111,81,1,4,1,999,999,999,32,70
2392,111,81,1,4,1,999,999,999,32,70
2393,111,81,1,4,1,999,999,999,32,70
2394,111,81,1,4,1,999,999,999,32,70
2395,111,81,1,4,1,999,999,999,32,70
2400,112,81,1,4,1,999,999,999,32,70
2401,112,81,1,4,1,999,999,999,32,70
2402,112,81,1,4,1,999,999,999,32,70
2403,112,81,1,4,1,999,999,999,32,70
2404,112,81,1,4,1,999,999,999,32,70
2405,112,81,1,4,1,999,999,999,32,70
2410,112,81,1,4,1,999,999,999,32,70
2411,112,81,1,4,1,999,999,999,32,70
2412,112,81,1,4,1,999,999,999,32,70
2413,112,81,1,4,1,999,999,999,32,70
2414,112,81,1,4,1,999,999,999,32,70
2415,112,81,1,4,1,999,999,999,32,70
2420,110,81,1,4,1,999,999,999,32,70
2421,110,81,1,4,1,999,999,999,32,70
2422,110,81,1,4,1,999,999,999,32,70
2423,110,81,1,4,1,999,999,999,32,70
2424,110,81,1,4,1,999,999,999,32,70
2425,110,81,1,4,1,999,999,999,32,70
2430,111,81,1,4,1,999,999,999,32,70
2431,111,81,1,4,1,999,999,999,32,70
2432,111,81,1,4,1,999,999,999,32,70
2433,111,81,1,4,1,999,999,999,32,70
2434,111,81,1,4,1,999,999,999,32,70
2435,111,81,1,4,1,999,999,999,32,70
2440,113,81,1,4,1,999,999,999,32,70
2441,113,81,1,4,1,999,999,999,32,70
2442,113,81,1,4,1,999,999,999,32,70
2443,113,81,1,4,1,999,999,999,32,70
2444,113,81,1,4,1,999,999,999,32,70
2445,113,81,1,4,1,999,999,999,32,70
2450,111,81,1,4,1,999,999,999,33,70
2451,111,81,1,4,1,999,999,999,33,70
2452,111,81,1,4,1,999,999,999,33,70
2453,111,81,1,4,1,999,999,999,33,70
2454,111,81,1,4,1,999,999,999,33,70
2455,111,81,1,4,1,999,999,999,33,70
2460,114,82,999,14,999,13,999,999,999,71
2461,114,83,999,14,999,13,999,999,22,71
2462,114,84,999,14,999,13,999,999,22,71
2463,114,85,999,14,999,2,999,999,22,72
2464,114,86,999,14,999,2,999,999,22,72
2470,114,999,5,14,999,13,999,999,34,73
2471,114,999,5,14,999,13,999,999,34,71
2472,114,999,5,14,999,13,999,999,34,71
2480,115,87,1,999,1,999,999,999,35,999
2481,115,87,1,999,1,999,999,999,35,999
2482,115,87,1,999,1,999,999,999,35,999
2483,115,999,1,999,1,999,999,999,35,999
2491,115,88,999,10,999,5,999,4,999,74
2492,115,88,999,10,999,5,999,4,999,74
2493,115,88,999,10,999,5,999,4,22,74
2530,116,88,999,19,999,5,999,4,999,75
2531,116,88,999,19,999,5,999,4,999,75
2532,116,88,999,19,999,5,999,4,999,75
2540,117,88,999,19,999,5,999,1,999,76
2541,117,88,999,19,999,5,999,1,999,76
2542,117,88,999,19,999,5,999,1,999,76
2550,117,88,999,19,999,5,999,1,999,76
2551,117,88,999,19,999,5,999,1,999,76
2552,117,88,999,19,999,5,999,1,999,76
2560,118,19,999,2,999,14,999,4,999,999
2561,118,19,999,2,999,14,999,4,999,999
2562,118,19,999,2,999,14,999,4,999,999
2570,119,19,999,2,999,14,999,4,999,999
2571,119,19,999,2,999,14,999,4,999,999
2572,119,19,999,2,999,14,999,4,999,999
2573,119,19,999,2,999,14,999,4,999,999
2574,119,19,999,2,999,14,999,4,999,999
2580,120,19,999,2,999,14,999,4,999,999
2581,120,19,999,2,999,14,999,4,999,999
