code,particle_size,particle_fraction
1010,2.0,0.03
1010,50.0,0.17
1010,106.0,0.279
1010,250.0,0.735
1010,500.0,0.921
1010,1000.0,0.994
1010,2000.0,1.002
1011,2.0,0.03
1011,50.0,0.175
1011,106.0,0.295
1011,250.0,0.757
1011,500.0,0.927
1011,1000.0,0.995
1011,2000.0,1.004
1012,2.0,0.025
1012,50.0,0.175
1012,106.0,0.285
1012,250.0,0.734
1012,500.0,0.905
1012,1000.0,0.986
1012,2000.0,1.002
1013,2.0,0.02
1013,50.0,0.15
1013,106.0,0.286
1013,250.0,0.758
1013,500.0,0.92
1013,1000.0,0.991
1013,2000.0,1.002
1014,2.0,0.02
1014,50.0,0.13
1014,106.0,0.256
1014,250.0,0.743
1014,500.0,0.916
1014,1000.0,0.985
1014,2000.0,0.997
1015,2.0,0.06
1015,50.0,0.18
1015,106.0,0.307
1015,250.0,0.75
1015,500.0,0.917
1015,1000.0,0.983
1015,2000.0,0.99
1020,2.0,0.045
1020,50.0,0.1
1020,100.0,0.121
1020,250.0,0.173
1020,500.0,0.2
1020,1000.0,0.804
1020,2000.0,0.997
1021,2.0,0.06
1021,50.0,0.11
1021,100.0,0.15
1021,250.0,0.247
1021,500.0,0.28
1021,1000.0,0.908
1021,2000.0,1.003
1022,2.0,0.043
1022,50.0,0.107
1022,100.0,0.133
1022,250.0,0.204
1022,500.0,0.237
1022,1000.0,0.862
1022,2000.0,1.003
1023,2.0,0.02
1023,50.0,0.06
1023,100.0,0.08
1023,250.0,0.163
1023,500.0,0.216
1023,1000.0,0.771
1023,2000.0,1.002
1024,2.0,0.02
1024,50.0,0.05
1024,100.0,0.08
1024,250.0,0.215
1024,500.0,0.277
1024,1000.0,0.82
1024,2000.0,1.006
1030,2.0,0.073
1030,50.0,0.21
1030,100.0,0.303
1030,250.0,0.685
1030,500.0,0.914
1030,1000.0,0.993
1030,2000.0,1.0
1031,2.0,0.078
1031,50.0,0.21
1031,100.0,0.319
1031,250.0,0.692
1031,500.0,0.907
1031,1000.0,0.946
1031,2000.0,0.95
1032,2.0,0.078
1032,50.0,0.2
1032,100.0,0.307
1032,250.0,0.679
1032,500.0,0.89
1032,1000.0,0.896
1032,2000.0,0.91
1040,,
1041,2.0,0.02
1041,50.0,0.07
1041,125.0,0.232
1041,250.0,0.76
1041,500.0,0.925
1041,1000.0,0.988
1041,2000.0,0.992
1042,2.0,0.03
1042,50.0,0.04
1042,125.0,0.2
1042,250.0,0.756
1042,500.0,0.912
1042,1000.0,0.967
1042,2000.0,0.972
1043,2.0,0.03
1043,50.0,0.07
1043,125.0,0.225
1043,250.0,0.772
1043,500.0,0.952
1043,1000.0,1.017
1043,2000.0,1.023
1050,2.0,0.032
1050,50.0,0.078
1050,125.0,0.117
1050,250.0,0.216
1050,500.0,0.572
1050,1000.0,0.965
1050,2000.0,1.0
1051,2.0,0.082
1051,50.0,0.129
1051,125.0,0.149
1051,250.0,0.218
1051,500.0,0.51
1051,1000.0,0.95
1051,2000.0,1.0
1052,2.0,0.065
1052,50.0,0.091
1052,125.0,0.113
1052,250.0,0.175
1052,500.0,0.449
1052,1000.0,0.912
1052,2000.0,1.001
1053,2.0,0.037
1053,50.0,0.049
1053,125.0,0.058
1053,250.0,0.105
1053,500.0,0.366
1053,1000.0,0.886
1053,2000.0,1.0
1054,2.0,0.025
1054,50.0,0.028
1054,125.0,0.032
1054,250.0,0.065
1054,500.0,0.302
1054,1000.0,0.859
1054,2000.0,1.0
1060,2.0,0.02
1060,50.0,0.07
1060,125.0,0.112
1060,250.0,0.34
1060,500.0,0.725
1060,1000.0,0.972
1060,2000.0,1.0
1061,2.0,0.04
1061,50.0,0.09
