publication_ID,publication
1,"Dane et al., South. Coop. Ser. Bull. 262, Ala. Agric. Exp.  Sta., Auburn Univ., AL, 1983."
2,"Soil Sci. Soc. Am. J. 50(1):4-10, 1986."
3,"Quisenberry et al., South. Coop. Ser. Bull. 263, South Carolina Agric. Exp. Sta., Clemson, SC, 1987."
4,"Bruce et al., South. Coop. Ser. Bull. 267, Georgia Agric. Exp.  Sta., Athens, GA 30602, 1983."
5,"Nofziger et al., South. Coop. Ser. Bull. 265, Oklahoma Agric.  Exp. Sta., Stillwater, OK 74078, 1983."
6,"Luxmoore, South. Coop. Ser. Bull. 268, North Carolina State Univ., Raleigh, NC 27695, 1983."
7,"Rockhold et al., Characterization of Unsaturated Hydraulic Conductivity at the Hanford Site. PNL-6488, Pac. NW Lab, Richland, WA"
8,"Rasmussen et al., Unsaturated Fractured Rock Characterization Methods and Data Sets at the Apache Leap Tuff Site, NUREG/CR-5596."
9,"Wendroth, O. Ph.D. Thesis, Georg-August-Univ., Goettingen, Germany"
10,"Plagge et al., Z. Pflanzenernaehr. Bodenkd. 153:39-45, 1990."
11,"Dane, J.H., and S. Hruska. 1983. In-situ determination of soil hydraulic properties during drainage. Soil Sci. Soc. Am. J.  47:619-624."
12,"Teiwes, Ph.D. Thesis, Georg-August Universitaet, Goettingen, Germany"
13,"Wendroth, O. Ph.D. Thesis, Georg-August Universitaet, Goettingen, Germany."
14,"Shen and Jaynes, J. Hydr. Eng. (China) 10:11-20."
15,"Fritton et al., 1970. Soil Sci. Soc. Am. Proc. 34:183-189."
16,"Bohne and Tille, 1985. Archiv f. Acker- u. Pflanzenbau u.  Bodenkunde Berlin 29(6):351-357."
17,"Vetterlein et al., 1985. Acta Hydrophysica Berlin, XXIX(4):275-290."
999,NA
19,"Teiwes, K., Ph.D. Thesis, Georg-August Universitaet, Goettingen, Germany."
20,"Ahuja and El-Swaify, 1975. Hydrologic Characteristics of Benchmark Soils of Hawaii's Forest Watersheds. Univ. of Hawaii."
21,"Green et al., 1982. Water conduction in Hawai'i Oxic Soils.  Techn. Report No. 143, Water Resour. Res. Center, Univ. of Hawaii."
22,"West et al., 1984. Soil survey of the ICRISAT Sahelian Center, Texas A&M Univ."
23,"Clothier and Smettem, 1990. Soil Sci. Soc. Am. J. 54:299-304."
24,"Scotter et al., 1988. Agric. Water Manage. 15:73-86."
