code,bulk_density,particle_density,porosity,OM_content,k_sat,theta_sat,CEC,pH,electrolyte_level,SAR,ESP,EC,free_Fe_Al_oxide
1010,1.6400000000000001,2.64,0.394,0.01,171.1,0.384,,,,,,,
1011,1.52,2.68,0.43,,310.0,,,,,,,,
1012,1.4000000000000001,2.66,0.44,,207.0,,,,,,,,
1013,1.49,2.67,0.44,,161.0,,,,,,,,
1014,1.53,2.7600000000000002,0.45,,199.0,,,,,,,,
1015,1.72,2.63,0.35000000000000003,,60.4,,,,,,,,
1020,1.61,,,,,,,,,,,,
1021,1.58,,,,,,,,,,,,
1022,1.6,,,,,,,,,,,,
1023,1.67,,,,,,,,,,,,
1024,1.68,,,,,,,,,,,,
1030,1.48,,,1.7,,,,,,,,,
1031,1.48,,,0.2,,,,,,,,,
1032,1.53,,,0.1,,,,,,,,,
1040,1.601,2.59,,1.92,452.8,,,,,,,,
1041,1.512,2.65,,0.783,542.9,,,,,,,,
1042,1.562,2.58,,0.31,666.2,,,,,,,,
1043,1.593,2.61,,,691.9,,,,,,,,
1050,1.6,,,,708.0,,,,,,,,
1051,1.59,,,,742.0,,,,,,,,
1052,1.55,,,,1117.0,,,,,,,,
1053,1.54,,,,2784.0,,,,,,,,
1054,1.54,,,,4176.0,,,,,,,,
1060,1.55,,,,852.0,,,,,,,,
1061,1.59,,,,698.0,,,,,,,,
1062,1.56,,,,1043.0,,,,,,,,
1063,1.55,,,,1654.0,,,,,,,,
1070,1.46,,,,2400.0,,,,,,,,
1071,1.62,,,,475.0,,,,,,,,
1072,1.6,,,,1397.0,,,,,,,,
1073,1.59,,,,2086.0,,,,,,,,
1074,1.55,,,,3672.0,,,,,,,,
1075,1.57,,,,2808.0,,,,,,,,
1080,1.7,,,,23.7,,,,,,,,
1081,1.7,,,,23.7,,,,,,,,
1082,1.7,,,,23.7,,,,,,,,
1083,1.7,,,,23.7,,,,,,,,
1084,1.7,,,,23.7,,,,,,,,
1085,1.7,,,,23.7,,,,,,,,
1086,1.7,,,,23.7,,,,,,,,
1087,1.7,,,,23.7,,,,,,,,
1090,1.59,,,,86.4,,,,,,,,
1091,1.6300000000000001,,,,74.9,,,,,,,,
1092,1.6,,,,5.53,,,,,,,,
1100,1.74,,,,,,,,,,,,
1101,1.83,,,,,,,,,,,,
1102,1.71,,,,,,,,,,,,
1103,1.56,,,,,,,,,,,,
1104,1.6300000000000001,,,,,,,,,,,,
1110,1.69,,,,,,,,,,,,
1111,1.73,,,,,,,,,,,,
1112,1.58,,,,,,,,,,,,
1113,1.49,,,,,,,,,,,,
1114,1.58,,,,,,,,,,,,
1115,1.59,,,,,,,,,,,,
1116,1.7,,,,,,,,,,,,
1117,1.75,,,,,,,,,,,,
1120,1.6300000000000001,,,0.01,37.9,0.312,,,,,,,
1121,1.6400000000000001,,,,7.13,0.348,,,,,,,
1122,1.6600000000000001,,,,2.92,0.359,,,,,,,
1123,1.6400000000000001,,,,0.74,0.349,,,,,,,
1130,1.56,,,,2.74,0.4,,,,,,,
1131,1.97,,,,3.744,0.243,,,,,,,
1132,1.77,,,,0.41500000000000004,0.352,,,,,,,
1133,1.81,,,,0.091,0.327,,,,,,,
