general_code,summary_of_tabular_data_field_code,CountOfdry_aggregate_size,CountOfmineral_type,CountOfparticle_size,count_fld_dry_h-k_CountOfpreshead,count_fld_dry_h-t_CountOfpreshead,count_fld_dry_t-d_CountOftheta,count_fld_dry_t-k_CountOftheta,count_fld_wet_h-k_CountOfpreshead,count_fld_wet_h-t_CountOfpreshead,count_fld_wet_t-d_CountOftheta,count_fld_wet_t-k_CountOftheta,summary_of_tabular_data_lab_code,count_lab_dry_h-k_CountOfpreshead,count_lab_dry_h-t_CountOfpreshead,count_lab_dry_t-d_CountOftheta,count_lab_dry_t-k_CountOftheta,count_lab_wet_h-k_CountOfpreshead,count_lab_wet_h-t_CountOfpreshead,count_lab_wet_t-d_CountOftheta,count_lab_wet_t-k_CountOftheta
1010,1010,0,0,7,11,17,0,11,0,0,0,0,1010,0,9,0,0,0,0,0,0
1011,1011,0,0,7,12,31,0,12,0,0,0,0,1011,0,9,0,0,0,0,0,0
1012,1012,0,0,7,15,30,0,15,0,0,0,0,1012,0,10,0,0,0,0,0,0
1013,1013,0,0,7,13,14,0,13,0,0,0,0,1013,0,12,0,0,0,0,0,0
1014,1014,0,0,7,9,0,0,9,0,0,0,0,1014,0,11,0,0,0,0,0,0
1015,1015,0,0,7,9,0,0,9,0,0,0,0,1015,0,11,0,0,0,0,0,0
1020,1020,0,0,7,29,0,0,30,0,0,0,0,1020,0,10,0,0,0,0,0,0
1021,1021,0,0,7,28,0,0,28,0,0,0,0,1021,0,10,0,0,0,0,0,0
1022,1022,0,0,7,34,0,0,42,0,0,0,0,1022,0,10,0,0,0,0,0,0
1023,1023,0,0,7,14,0,0,14,0,0,0,0,1023,0,9,0,0,0,0,0,0
1024,1024,0,0,7,9,0,0,9,0,0,0,0,1024,0,9,0,0,0,0,0,0
1030,1030,0,0,7,0,0,0,31,0,0,0,0,1030,0,11,0,0,0,0,0,0
1031,1031,0,0,7,0,0,0,51,0,0,0,0,1031,0,11,0,0,0,0,0,0
1032,1032,0,0,7,0,0,0,32,0,0,0,0,1032,0,11,0,0,0,0,0,0
1040,1040,0,0,0,0,0,0,31,0,0,0,0,1040,0,12,0,0,0,0,0,0
1041,1041,0,0,7,0,0,0,56,0,0,0,0,1041,0,12,0,0,0,0,0,0
1042,1042,0,0,7,0,0,0,27,0,0,0,0,1042,0,12,0,0,0,0,0,0
1043,1043,0,0,7,0,0,0,50,0,0,0,0,1043,0,12,0,0,0,0,0,0
1050,1050,0,0,7,0,0,0,27,0,0,0,0,1050,0,14,0,0,0,0,0,0
1051,1051,0,0,7,0,0,0,27,0,0,0,0,1051,0,10,0,0,0,0,0,0
1052,1052,0,0,7,0,0,0,52,0,0,0,0,1052,0,14,0,0,0,0,0,0
1053,1053,0,0,7,0,0,0,27,0,0,0,0,1053,0,14,0,0,0,0,0,0
1054,1054,0,0,7,0,0,0,26,0,0,0,0,1054,0,14,0,0,0,0,0,0
1060,1060,0,0,7,0,0,0,25,0,0,0,0,1060,0,14,0,0,0,0,0,0
1061,1061,0,0,7,0,0,0,25,0,0,0,0,1061,0,14,0,0,0,0,0,0
1062,1062,0,0,7,0,0,0,47,0,0,0,0,1062,0,14,0,0,0,0,0,0
1063,1063,0,0,7,0,0,0,50,0,0,0,0,1063,0,14,0,0,0,0,0,0
1070,1070,0,0,7,0,0,0,23,0,0,0,0,1070,0,14,0,0,0,0,0,0
1071,1071,0,0,7,0,0,0,23,0,0,0,0,1071,0,14,0,0,0,0,0,0
1072,1072,0,0,7,0,0,0,23,0,0,0,0,1072,0,14,0,0,0,0,0,0
1073,1073,0,0,7,0,0,0,23,0,0,0,0,1073,0,14,0,0,0,0,0,0
1074,1074,0,0,7,0,0,0,23,0,0,0,0,1074,0,14,0,0,0,0,0,0
1075,1075,0,0,7,0,0,0,22,0,0,0,0,1075,0,14,0,0,0,0,0,0
1080,1080,0,0,3,0,0,0,0,0,0,0,0,1080,18,0,0,17,0,0,0,0
1081,1081,0,0,3,0,0,0,0,0,0,0,0,1081,14,0,0,13,0,0,0,0
1082,1082,0,0,3,0,0,0,0,0,0,0,0,1082,14,0,0,14,0,0,0,0
1083,1083,0,0,3,0,0,0,0,0,0,0,0,1083,14,0,0,14,0,0,0,0
1084,1084,0,0,3,0,0,0,0,0,0,0,0,1084,14,0,0,14,0,0,0,0
1085,1085,0,0,3,0,0,0,0,0,0,0,0,1085,14,0,0,13,0,0,0,0
1086,1086,0,0,3,0,0,0,0,0,0,0,0,1086,14,0,0,14,0,0,0,0
1087,1087,0,0,3,0,0,0,0,0,0,0,0,1087,14,0,0,13,0,0,0,0
1090,1090,0,0,7,0,0,0,36,0,0,0,0,1090,0,15,0,0,0,0,0,0
1091,1091,0,0,7,0,0,0,15,0,0,0,0,1091,0,15,0,0,0,0,0,0
1092,1092,0,0,7,0,0,0,17,0,0,0,0,1092,0,15,0,0,0,0,0,0
1100,1100,0,0,7,0,0,0,19,0,0,0,0,1100,0,9,0,0,0,0,0,0
1101,1101,0,0,7,0,0,0,18,0,0,0,0,1101,0,9,0,0,0,0,0,0
1102,1102,0,0,7,0,0,0,16,0,0,0,0,1102,0,9,0,0,0,0,0,0
1103,1103,0,0,7,0,0,0,40,0,0,0,0,1103,0,9,0,0,0,0,0,0
1104,1104,0,0,7,0,0,0,26,0,0,0,0,1104,0,9,0,0,0,0,0,0
1110,1110,0,0,7,0,0,0,26,0,0,0,0,1110,0,11,0,0,0,0,0,0
1111,1111,0,0,7,0,0,0,25,0,0,0,0,1111,0,11,0,0,0,0,0,0
1112,1112,0,0,7,0,0,0,15,0,0,0,0,1112,0,11,0,0,0,0,0,0
1113,1113,0,0,7,0,0,0,15,0,0,0,0,1113,0,11,0,0,0,0,0,0
1114,1114,0,0,7,0,0,0,12,0,0,0,0,1114,0,11,0,0,0,0,0,0
1115,1115,0,0,7,0,0,0,11,0,0,0,0,1115,0,11,0,0,0,0,0,0
1116,1116,0,0,7,0,0,0,6,0,0,0,0,1116,0,11,0,0,0,0,0,0
1117,1117,0,0,7,0,0,0,5,0,0,0,0,1117,0,11,0,0,0,0,0,0
1120,1120,0,0,7,0,7,0,7,0,0,0,0,1120,0,10,0,0,0,0,0,0
1121,1121,0,0,7,0,21,0,14,0,0,0,0,1121,0,9,0,0,0,0,0,0
1122,1122,0,0,7,0,7,0,6,0,0,0,0,1122,0,10,0,0,0,0,0,0
1123,1123,0,0,7,0,3,0,6,0,0,0,0,1123,0,10,0,0,0,0,0,0
1130,1130,0,0,7,0,13,0,11,0,0,0,0,1130,0,15,0,0,0,0,0,0
1131,1131,0,0,7,0,12,0,12,0,0,0,0,1131,0,15,0,0,0,0,0,0
1132,1132,0,0,7,0,13,0,11,0,0,0,0,1132,0,15,0,0,0,0,0,0
1133,1133,0,0,7,0,9,0,10,0,0,0,0,1133,0,15,0,0,0,0,0,0
1134,1134,0,0,7,0,5,0,6,0,0,0,0,1134,0,15,0,0,0,0,0,0
1135,1135,0,0,7,0,0,0,2,0,0,0,0,1135,0,15,0,0,0,0,0,0
1140,1140,0,0,7,0,0,0,12,0,0,0,0,1140,0,14,0,0,0,0,0,0
1141,1141,0,0,7,0,0,0,12,0,0,0,0,1141,0,14,0,0,0,0,0,0
1142,1142,0,0,7,0,0,0,11,0,0,0,0,1142,0,14,0,0,0,0,0,0
1143,1143,0,0,7,0,0,0,10,0,0,0,0,1143,0,14,0,0,0,0,0,0
1150,1150,0,0,7,0,7,0,14,0,0,0,0,1150,0,0,0,0,0,0,0,0
