particle_density,texture,porosity,series,conductivity,depth_lower,OM_content,k_sat,theta_sat,pH,location,depth_upper,code,P2,P50,P100,P250,P500,P1000,P2000,rho,suction,theta
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,122.0,0.122
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,0.0,0.4178
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,5.0,0.3744
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,12.0,0.3505
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,24.0,0.2657
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,34.0,0.198
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,54.0,0.1649
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,80.0,0.1384
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,325.0,0.107
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1020,0.045,0.1,0.121,0.173,0.2,0.804,0.997,1.61,821.0,0.0955
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,54.0,0.13
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,80.0,0.119
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,0.0,0.361
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,5.0,0.34
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,12.0,0.252
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,24.0,0.203
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,34.0,0.162
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,122.0,0.102
2.65,12.0,0.44,33.0,1.656,61.0,0.75,88.992,0.418,7.3,23.0,30.0,1021,0.06,0.11,0.15,0.247,0.28,0.908,1.003,1.58,325.0,0.084
