theta_sat,horizon,family,OM_content,pH,location,keyword,date,texture,particle_density,porosity,series,k_sat,code,P2,P50,P100,P250,P500,P1000,P2000,rho,suction,theta
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,1310,0.02,0.044,0.06851282051282051,0.14205128205128204,0.26461538461538464,0.5097435897435897,1.0,1.6,113.0,0.043
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,1310,0.02,0.044,0.06851282051282051,0.14205128205128204,0.26461538461538464,0.5097435897435897,1.0,1.6,38.0,0.133
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,1310,0.02,0.044,0.06851282051282051,0.14205128205128204,0.26461538461538464,0.5097435897435897,1.0,1.6,37.0,0.069
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,1310,0.02,0.044,0.06851282051282051,0.14205128205128204,0.26461538461538464,0.5097435897435897,1.0,1.6,31.0,0.086
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,1310,0.02,0.044,0.06851282051282051,0.14205128205128204,0.26461538461538464,0.5097435897435897,1.0,1.6,28.0,0.098
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,1310,0.02,0.044,0.06851282051282051,0.14205128205128204,0.26461538461538464,0.5097435897435897,1.0,1.6,27.0,0.103
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,1310,0.02,0.044,0.06851282051282051,0.14205128205128204,0.26461538461538464,0.5097435897435897,1.0,1.6,25.0,0.125
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,1310,0.02,0.044,0.06851282051282051,0.14205128205128204,0.26461538461538464,0.5097435897435897,1.0,1.6,24.0,0.101
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,1310,0.02,0.044,0.06851282051282051,0.14205128205128204,0.26461538461538464,0.5097435897435897,1.0,1.6,23.0,0.122
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,1310,0.02,0.044,0.06851282051282051,0.14205128205128204,0.26461538461538464,0.5097435897435897,1.0,1.6,22.0,0.1525
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,1310,0.02,0.044,0.06851282051282051,0.14205128205128204,0.26461538461538464,0.5097435897435897,1.0,1.6,18.0,0.2
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,3060,0.0,0.0,0.09941935483870967,0.281,0.863,0.9991379310344828,1.0,1.884,61.0,0.195
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,3060,0.0,0.0,0.09941935483870967,0.281,0.863,0.9991379310344828,1.0,1.884,46.0,0.2
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,3060,0.0,0.0,0.09941935483870967,0.281,0.863,0.9991379310344828,1.0,1.884,40.0,0.205
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,3060,0.0,0.0,0.09941935483870967,0.281,0.863,0.9991379310344828,1.0,1.884,36.0,0.215
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,3060,0.0,0.0,0.09941935483870967,0.281,0.863,0.9991379310344828,1.0,1.884,34.0,0.225
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,3060,0.0,0.0,0.09941935483870967,0.281,0.863,0.9991379310344828,1.0,1.884,32.0,0.24
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.634,0.48,0.0,8.64,3060,0.0,0.0,0.09941935483870967,0.281,0.863,0.9991379310344828,1.0,1.884,31.0,0.25
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3060,0.0,0.0,0.09941935483870967,0.281,0.863,0.9991379310344828,1.0,1.884,31.0,0.25
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3060,0.0,0.0,0.09941935483870967,0.281,0.863,0.9991379310344828,1.0,1.884,30.0,0.267
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3060,0.0,0.0,0.09941935483870967,0.281,0.863,0.9991379310344828,1.0,1.884,28.0,0.295
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3060,0.0,0.0,0.09941935483870967,0.281,0.863,0.9991379310344828,1.0,1.884,27.0,0.31
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3060,0.0,0.0,0.09941935483870967,0.281,0.863,0.9991379310344828,1.0,1.884,26.0,0.32
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3060,0.0,0.0,0.09941935483870967,0.281,0.863,0.9991379310344828,1.0,1.884,25.0,0.33
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3060,0.0,0.0,0.09941935483870967,0.281,0.863,0.9991379310344828,1.0,1.884,24.0,0.35
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3060,0.0,0.0,0.09941935483870967,0.281,0.863,0.9991379310344828,1.0,1.884,23.0,0.36
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3060,0.0,0.0,0.09941935483870967,0.281,0.863,0.9991379310344828,1.0,1.884,22.0,0.365
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,3.0,0.264
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,4.0,0.27
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,5.0,0.239
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,9.0,0.217
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,10.0,0.204
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,11.0,0.196
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,17.0,0.182
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,18.0,0.189
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,19.0,0.167
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.78,0.503,0.0,2082.24,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,20.0,0.171
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,20.0,0.171
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,25.0,0.136
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,26.0,0.126
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,28.0,0.12
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,37.0,0.105
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,38.0,0.091
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,41.0,0.085
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,42.0,0.093
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,57.0,0.074
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,60.0,0.07
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,62.0,0.086
