particle_fraction,theta_sat,horizon,particle_size,family,OM_content,bulk_density,pH,location,code,keyword,avetemp_jan,avetemp_jul,date,depth_lower,theta,annual_rain,texture,particle_density,porosity,series,preshead,k_sat,depth_upper
0.03,0.384,Ap,2.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.01,1.64,,"Union Springs, AL, USA",1010,undisturbed,7.8,26.7,1979,24.0,,140.0,loamy sand,2.64,0.394,Troup,,171.1,0.0
0.17,0.384,Ap,50.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.01,1.64,,"Union Springs, AL, USA",1010,undisturbed,7.8,26.7,1979,24.0,,140.0,loamy sand,2.64,0.394,Troup,,171.1,0.0
0.279,0.384,Ap,106.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.01,1.64,,"Union Springs, AL, USA",1010,undisturbed,7.8,26.7,1979,24.0,,140.0,loamy sand,2.64,0.394,Troup,,171.1,0.0
0.735,0.384,Ap,250.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.01,1.64,,"Union Springs, AL, USA",1010,undisturbed,7.8,26.7,1979,24.0,,140.0,loamy sand,2.64,0.394,Troup,,171.1,0.0
0.921,0.384,Ap,500.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.01,1.64,,"Union Springs, AL, USA",1010,undisturbed,7.8,26.7,1979,24.0,,140.0,loamy sand,2.64,0.394,Troup,,171.1,0.0
0.994,0.384,Ap,1000.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.01,1.64,,"Union Springs, AL, USA",1010,undisturbed,7.8,26.7,1979,24.0,,140.0,loamy sand,2.64,0.394,Troup,,171.1,0.0
1.002,0.384,Ap,2000.0,"loamy, siliceous, thermic Grossarenic Paleudult",0.01,1.64,,"Union Springs, AL, USA",1010,undisturbed,7.8,26.7,1979,24.0,,140.0,loamy sand,2.64,0.394,Troup,,171.1,0.0
0.03,,A21,2.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.52,,"Union Springs, AL, USA",1011,undisturbed,7.8,26.7,1979,58.0,,140.0,loamy sand,2.68,0.43,Troup,,310.0,24.0
0.175,,A21,50.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.52,,"Union Springs, AL, USA",1011,undisturbed,7.8,26.7,1979,58.0,,140.0,loamy sand,2.68,0.43,Troup,,310.0,24.0
0.295,,A21,106.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.52,,"Union Springs, AL, USA",1011,undisturbed,7.8,26.7,1979,58.0,,140.0,loamy sand,2.68,0.43,Troup,,310.0,24.0
0.757,,A21,250.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.52,,"Union Springs, AL, USA",1011,undisturbed,7.8,26.7,1979,58.0,,140.0,loamy sand,2.68,0.43,Troup,,310.0,24.0
0.927,,A21,500.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.52,,"Union Springs, AL, USA",1011,undisturbed,7.8,26.7,1979,58.0,,140.0,loamy sand,2.68,0.43,Troup,,310.0,24.0
0.995,,A21,1000.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.52,,"Union Springs, AL, USA",1011,undisturbed,7.8,26.7,1979,58.0,,140.0,loamy sand,2.68,0.43,Troup,,310.0,24.0
1.004,,A21,2000.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.52,,"Union Springs, AL, USA",1011,undisturbed,7.8,26.7,1979,58.0,,140.0,loamy sand,2.68,0.43,Troup,,310.0,24.0
0.025,,A22,2.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.4,,"Union Springs, AL, USA",1012,undisturbed,7.8,26.7,1979,92.0,,140.0,loamy sand,2.66,0.44,Troup,,207.0,58.0
0.175,,A22,50.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.4,,"Union Springs, AL, USA",1012,undisturbed,7.8,26.7,1979,92.0,,140.0,loamy sand,2.66,0.44,Troup,,207.0,58.0
0.285,,A22,106.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.4,,"Union Springs, AL, USA",1012,undisturbed,7.8,26.7,1979,92.0,,140.0,loamy sand,2.66,0.44,Troup,,207.0,58.0
0.734,,A22,250.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.4,,"Union Springs, AL, USA",1012,undisturbed,7.8,26.7,1979,92.0,,140.0,loamy sand,2.66,0.44,Troup,,207.0,58.0
0.905,,A22,500.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.4,,"Union Springs, AL, USA",1012,undisturbed,7.8,26.7,1979,92.0,,140.0,loamy sand,2.66,0.44,Troup,,207.0,58.0
0.986,,A22,1000.0,"loamy, siliceous, thermic Grossarenic Paleudult",,1.4,,"Union Springs, AL, USA",1012,undisturbed,7.8,26.7,1979,92.0,,140.0,loamy sand,2.66,0.44,Troup,,207.0,58.0
